Date,IWF,IWM,MTUM,SAFE,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-07-10,-0.0,-0.0,-0.14169295478443744,1.0,-0.0,-0.0,-1.853224675779881,-0.3982649842271293,-0.0,-0.3744304241149667,-0.5029793200140203,-0.7760252365930599,-0.0,-0.0,-0.36952330879775674,-0.6749036102348406,-2.2187171398527865,-0.2742726954083421,-0.17858394672274797
2019-07-11,-0.0,-0.0,-0.13450445726271631,1.0,-0.0,-0.0,-1.8427722426149276,-0.3937248732739032,-0.0,-0.3615626638699528,-0.4830449222163958,-0.8089494843558819,-0.0,-0.0,-0.3479286837965391,-0.67217269708093,-2.2255724523684672,-0.27897220765600417,-0.19052613179514072
2019-07-12,-0.0,-0.0,-0.1547307893361213,1.0,-0.0,-0.0,-1.841610036591741,-0.4132253005750131,-0.0,-0.3366440146366963,-0.495992333159087,-0.7770517511761632,-0.0,-0.0,-0.316257187663356,-0.6878376023697509,-2.1995121101237154,-0.3005750130684789,-0.1887959574838822
2019-07-15,-0.0,-0.0,-0.15216436912810608,1.0,-0.12371586618667134,-0.0,-1.8797084906488715,-0.3894986390376679,-0.0,-0.30801650715602774,-0.5284924049521468,-0.7739046448327332,-0.0,-0.0,-0.36728422161735,-0.6544911756958468,-2.119676881201159,-0.292650803406796,-0.19062253051189743
2019-07-16,-0.0,-0.0,-0.20769299901141366,1.0,-0.15448908061472097,-0.0,-1.8776849105778737,-0.39714208681585333,-0.0,-0.35508223240765713,-0.5827267008178305,-0.7719061741709355,-0.0,-0.0,-0.435247595937809,-0.6701716545340164,-2.1158443425900963,-0.24975285341960995,-0.1693178754381235
2019-07-17,-0.0,-0.0,-0.1630901287553648,1.0,-0.16988555078683834,-0.0,-1.8989628040057227,-0.40021459227467815,-0.0,-0.34191702432045784,-0.5151108726752504,-0.766362660944206,-0.0,-0.0,-0.5164520743919886,-0.6283977110157367,-2.0936158798283264,-0.2500894134477825,-0.1973354792560801
2019-07-18,-0.0,-0.0,-0.1339632638643589,1.0,-0.10093606499470152,-0.0,-1.8795478629459557,-0.475273754856941,-0.0,-0.3376015542211233,-0.50777110561639,-0.7626280466266337,-0.0,-0.0,-0.4107205934298835,-0.6329035676439421,-2.1451783821971038,-0.22721653126103852,-0.2170611091487107
2019-07-19,-0.0,-0.0,-0.11403278113769832,1.0,-0.11306863002892453,-0.0,-1.8881584713822421,-0.44280830922955566,-0.0,-0.37251292838986766,-0.5249364536769218,-0.7418704531510212,-0.0,-0.0,-0.36366026820930847,-0.7067227627311771,-2.0506617582610223,-0.19791392760101675,-0.24848803576124112
2019-07-22,-0.0,-0.0,-0.25822067957617834,1.0,-0.267811472415053,-0.0,-1.9056448666423094,-0.5589148702959446,-0.0,-0.3077274388016076,-0.6666057727438802,-0.6495250274022654,-0.0,-0.0,-0.42957617829740596,-0.5767263427109975,-2.1350018268176836,-0.1745524296675192,-0.2038728534892218
2019-07-23,-0.0,-0.0,-0.2606392694063927,1.0,-0.2645662100456621,-0.0,-1.908310502283105,-0.5591780821917808,-0.0,-0.30812785388127856,-0.6667579908675799,-0.6502283105022831,-0.0,-0.0,-0.42675799086757993,-0.5757990867579909,-2.135525114155251,-0.17269406392694064,-0.20383561643835615
2019-07-24,-0.0,-0.0,-0.3704631950245985,1.0,-0.19205420959806924,-0.0,-1.9287106655527706,-0.5419103313840156,-0.0,-0.2976886661097187,-0.6973916272161886,-0.6405829388285529,-0.0,-0.0,-0.41901048918592776,-0.5605680868838763,-2.2020792722547107,-0.1628144435161979,-0.2691914972616727
2019-07-25,-0.0,-0.0,-0.012356079752878406,1.0,-0.34063465318730696,-0.0,-1.496864176729383,-0.5828887016755593,-0.0,-0.9219320415613592,-0.6506599269868015,-0.3732097725358046,-0.0,-0.0,-0.8327248900121689,-0.2987924740241505,-2.494804830103903,-0.3250023401666199,-0.030890199382196015
2019-07-26,-0.0,-0.0,-0.0,1.0,-0.3398302713792782,-0.0,-1.5120768441667443,-0.5718548913550312,-0.0,-0.9248344679660542,-0.6231465075072274,-0.3582019957101557,-0.0,-0.0,-0.8448195467686281,-0.2793994218035997,-2.487363610929777,-0.32061922969318285,-0.0636016040287233
2019-07-29,-0.0,-0.0,-0.04345409061428704,1.0,-0.31622347818030205,-0.0,-1.4777170388214582,-0.6259612711942926,-0.0,-0.7255628648197907,-0.6871120170480868,-0.2860187158343371,-0.0,-0.0,-0.7265820439173539,-0.3406837765218197,-2.4994904104512186,-0.33086259612711943,-0.2055962197720745
2019-07-30,-0.0,-0.0,-0.009796672828096117,1.0,-0.3440850277264325,-0.0,-1.4816081330868762,-0.6148798521256932,-0.0,-0.7409426987060999,-0.6831792975970424,-0.2486136783733826,-0.0,-0.0,-0.698521256931608,-0.34833641404805915,-2.4987985212569317,-0.31524953789279114,-0.2584103512014787
2019-07-31,-0.0,-0.0,-0.0,1.0,-0.41108844798813277,-0.0,-1.4398294084924903,-0.5204895234563324,-0.0,-0.8292230669386242,-0.7422584832189877,-0.26367513443352497,-0.0,-0.0,-0.724086779158168,-0.43454478027072135,-2.4539217504172077,-0.2541257185240126,-0.19821991470424624
2019-08-01,-0.0,-0.0,-0.0,1.0,-0.4158647360374135,-0.0,-1.373774620019786,-0.44050723985969964,-0.0,-0.8085259465779296,-0.7616692148574512,-0.34733339329076357,-0.0,-0.0,-0.49383937404442846,-0.4843960787840633,-2.4495907905387178,-0.24264772011871572,-0.175465419552118
2019-08-02,-0.0,-0.0,-0.0,1.0,-0.3069737916024304,-0.0,-1.4676702638977057,-0.5175478371270518,-0.0,-0.8681418336809648,-0.7343792509295365,-0.25990749977328376,-0.0,-0.0,-0.5198149995465675,-0.44980502403192163,-2.5390405368640607,-0.28992473020767207,-0.11535322390496054
2019-08-05,-0.0,-0.0,-0.0,1.0,-0.25539405976347385,-0.0,-1.4781077909181186,-0.4932743522614427,-0.0,-0.8728897715988084,-0.709578405705516,-0.3151575336282387,-0.0,-0.0,-0.5293852126026902,-0.4856007944389275,-2.5097950708675634,-0.29647016340164306,-0.08206193012548525
2019-08-06,-0.0,-0.0,-0.0,1.0,-0.4380510075566751,-0.0,-1.125472292191436,-0.4826826196473552,-0.0,-0.6416876574307305,-0.5591152392947104,-0.07296914357682621,-0.023299748110831235,-0.0,-0.23433564231738038,-0.2507084382871537,-2.348000629722922,-0.44301007556675065,-0.2522040302267003
2019-08-07,-0.0,-0.0,-0.0,1.0,-0.5626211709965102,-0.0,-0.9371074059713067,-0.5155486622721984,-0.0,-0.6475378053509112,-0.6372237301279566,-0.0,-0.0,-0.0,-0.3111283443195037,-0.2505622334238076,-2.3195036835982936,-0.44055835595191933,-0.1331523846452113
