Date,ACC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-02-26,1.0,-0.0,-0.0,-0.0,-0.11089517794242683,-0.0,-0.10093526053686383,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7198348111259564,-0.49758289809304024,-0.0,-0.0
2019-02-27,1.0,-0.0,-0.0,-0.0,-0.11084390030607781,-0.0,-0.10083564106301315,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7191857358013894,-0.4983238594957003,-0.0,-0.0
2019-02-28,1.0,-0.0,-0.0,-0.0,-0.1029697676679304,-0.0,-0.1088023719257315,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7163653154466803,-0.5021143190434528,-0.0,-0.0
2019-03-01,1.0,-0.0,-0.0,-0.0,-0.09932335051420475,-0.0,-0.1142731514278037,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7145858270024672,-0.514620025893446,-0.0,-0.0
2019-03-04,1.0,-0.0,-0.0,-0.0,-0.10230684730867814,-0.0,-0.10926400585865984,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7159282314170633,-0.5136091785670694,-0.0,-0.0
2019-03-05,1.0,-0.0,-0.0,-0.0,-0.10530047430443498,-0.0,-0.09737910126644174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7247078382475185,-0.5175052564666764,-0.0,-0.0
2019-03-06,1.0,-0.0,-0.0,-0.0,-0.09587568412822517,-0.0,-0.10454945269741987,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7283033620015638,-0.5145865910867866,-0.0,-0.0
2019-03-07,1.0,-0.0,-0.0,-0.0,-0.08849406960917752,-0.0,-0.09780283881003306,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7270804977639511,-0.5171106358156718,-0.0,-0.0
2019-03-08,1.0,-0.0,-0.0,-0.0,-0.10142595978062158,-0.0,-0.09703839122486288,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7259719683120048,-0.5131017672151127,-0.0,-0.0
2019-03-11,1.0,-0.0,-0.0,-0.0,-0.0970236643083679,-0.0,-0.10148816784581605,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7262503049524275,-0.5148572822639669,-0.0,-0.0
