Date,IWF,IWM,MTH,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-17,-0.0,-0.04081415174765558,1.0,-0.0,-0.6651747655583973,-0.0,-0.5163043478260869,-0.005701193520886615,-0.11024083546462063,-0.6627770673486786,-0.0,-0.12036445012787722,-0.0,-0.0,-0.6774829497016198,-0.2543691389599318,-1.2749893435635122,-0.0,-0.0
2019-04-18,-0.0,-0.06367080614607451,1.0,-0.0,-0.6990633550831404,-0.0,-0.467006945906125,-0.0,-0.11592296358661336,-0.6657019574826354,-0.0,-0.12939381182908863,-0.0,-0.0,-0.6117133235108398,-0.18959166491264998,-1.3200378867606821,-0.0,-0.0
2019-04-22,-0.0,-0.05197603531637586,1.0,-0.0,-0.7342337607735968,-0.0,-0.4870191297035947,-0.00783056548244692,-0.11173008198444398,-0.6818372924111835,-0.0,-0.11572419592179946,-0.0,-0.0,-0.5881332772755938,-0.18125919697288206,-1.2956695396258147,-0.0,-0.0
2019-04-23,-0.0,-0.09409557661927331,1.0,-0.0,-0.637687598736177,-0.0,-0.42239336492890994,-0.0,-0.1497827804107425,-0.5322373617693523,-0.0,-0.043246445497630334,-0.06363546603475514,-0.0,-0.5356931279620853,-0.053663112164297,-1.4043740126382307,-0.0,-0.0
2019-04-24,-0.0,-0.030638214565387626,1.0,-0.0,-0.5444400939702427,-0.0,-0.250097885669538,-0.0,-0.05824197337509789,-0.6879404855129209,-0.0,-0.134543852779953,-0.04874706342991386,-0.0,-0.5767423649177761,-0.20174236491777603,-1.361149177760376,-0.0,-0.0
2019-04-25,-0.0,-0.034713144517066086,1.0,-0.0,-0.580876301137739,-0.0,-0.04710723795691116,-0.0,-0.0327281529895909,-0.5801016702977487,-0.0,-0.2549019607843137,-0.0,-0.0,-0.6456548051319293,-0.31338658920358264,-1.3519244734931009,-0.0,-0.0
2019-04-26,-0.0,-0.04209202186849871,1.0,-0.0,-0.5835792733078523,-0.0,-0.05225216507813634,-0.0,-0.038608544196622956,-0.5682906768590642,-0.0,-0.24674633509119934,-0.0,-0.0,-0.6477333204315642,-0.31375489864047607,-1.3451061976873577,-0.0,-0.0
2019-04-29,-0.0,-0.0504078542470571,1.0,-0.0,-0.6542275191715918,-0.0,-0.06247252478874615,-0.01563034240218825,-0.01528842866214038,-0.5338738826747423,-0.0,-0.2132564841498559,-0.0,-0.0,-0.6334684706686856,-0.31964050212474965,-1.3862159917940702,-0.0,-0.0
2019-04-30,-0.0,-0.044795138208194474,1.0,-0.0,-0.6394334444226623,-0.0,-0.048911978043520876,-0.0,-0.0,-0.5604783375808665,-0.0,-0.25710644971574204,-0.0,-0.0,-0.6581062536757499,-0.2973436581062537,-1.3944324642227015,-0.0,-0.0
2019-05-01,-0.0,-0.0,1.0,-0.0,-0.6019111369809856,-0.0,-0.0,-0.053841676367869615,-0.0,-0.6445964299573147,-0.0,-0.24088086922778423,-0.0,-0.0,-0.6307237097400078,-0.3084012417539775,-1.3702949165696545,-0.0,-0.0
