Date,GRTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-07-29,1.0,-1.168294627728496,-0.6980464467258048,-0.8826372969201634,-1.234575899531546,-0.0,0.0
2020-07-30,1.0,-1.1689081490336721,-0.690376569037657,-0.8848874277744571,-1.2368997808328352,-0.0,0.0
2020-07-31,1.0,-1.1701120797011206,-0.6900124533001245,-0.8849813200498132,-1.2362141967621418,-0.0,0.0
2020-08-03,1.0,-1.1499245093105184,-0.7267740312028185,-0.912632108706593,-1.243331655762456,-0.0,0.0
2020-08-04,1.0,-1.1488505458021028,-0.7253886010362695,-0.9117661854218019,-1.2444790985462046,-0.0,0.0
2020-08-05,1.0,-1.148943661971831,-0.7252012072434607,-0.9118209255533198,-1.244215291750503,-0.0,0.0
2020-08-06,1.0,-1.1489789759581532,-0.7239211346946988,-0.91263454380847,-1.244190725279147,-0.0,0.0
2020-08-07,1.0,-1.1504905660377358,-0.7232201257861636,-0.9124528301886793,-1.2452830188679245,-0.0,0.0
2020-08-10,1.0,-1.1380666633049268,-0.7440371136100046,-0.9071655488881045,-1.2533911552619637,-0.0,0.0
2020-08-11,1.0,-1.1370443200726061,-0.7453234508142994,-0.9062169112085917,-1.253567286845157,-0.0,0.0
2020-08-12,1.0,-1.1333031172886137,-0.7483003474845142,-0.8971647278037972,-1.257188900639573,-0.0,0.0
2020-08-13,1.0,-1.1275633293124248,-0.7573381584238038,-0.8832428628870125,-1.2575894652191395,-0.0,0.0
2020-08-14,1.0,-1.1267591475673502,-0.757086851628468,-0.8826899879372738,-1.2575894652191395,-0.0019601930036188178,0.0
2020-08-17,1.0,-1.1271173661724052,-0.7572756974114099,-0.8829354109072632,-1.2575018848957025,-0.0015581804473485802,0.0
2020-08-18,1.0,-1.1259043408360128,-0.7564811093247589,-0.8777632636655949,-1.25889268488746,-0.005124598070739551,0.0
2020-08-19,1.0,-1.1317404426559357,-0.7521629778672032,-0.8814889336016096,-1.2617706237424546,-0.0029678068410462777,0.0
2020-08-20,1.0,-1.1304194749019214,-0.7533447339301881,-0.8805452167789961,-1.2609395433055024,-0.004426114073030883,0.0
2020-08-21,1.0,-1.1262633881430082,-0.7548147030723589,-0.877055362799819,-1.2603710966963342,-0.009956252828480918,0.0
