Date,IWF,IWM,LAMR,MTUM,SPY,VLUE,VXX
2018-12-03,-0.0445558852101767,-0.5805392916218133,1.0,-0.0,-0.5633155669913619,-0.43715703520886395,0.0
2018-12-04,-0.03850183342063908,-0.5836301728653746,1.0,-0.0,-0.5610005238344683,-0.43606600314300686,0.0
2018-12-06,-0.03253393781716082,-0.5601864969990469,1.0,-0.0,-0.5603925710311429,-0.42278663609901856,0.0
2018-12-07,-0.050718203186210495,-0.5691564377121964,1.0,-0.0,-0.5729694437189866,-0.4188038652389658,0.0
2018-12-10,-0.04553867007272632,-0.5699762792273805,1.0,-0.0,-0.5744336991371894,-0.4167557281755858,0.0
2018-12-11,-0.03695481849046748,-0.5744841995299034,1.0,-0.0,-0.5734395403499608,-0.42676939148602766,0.0
2018-12-12,-0.03680100295139342,-0.5745814506229269,1.0,-0.0,-0.5732494058035364,-0.42722072766213076,0.0
2018-12-13,-0.0358561572234999,-0.5704317374033033,1.0,-0.0,-0.5812513067112691,-0.4258833368178967,0.0
2018-12-14,-0.03939496852059876,-0.5608296977455002,1.0,-0.0,-0.586378954518143,-0.4257948222262859,0.0
2018-12-17,-0.02572514711243035,-0.5614226943706713,1.0,-0.0,-0.5772014789355829,-0.4394105087746706,0.0
2018-12-18,-0.025137840027176044,-0.5661762784499204,1.0,-0.0,-0.5814628027907707,-0.44033029344900576,0.0
2018-12-19,-0.03324868445165851,-0.5654108961436762,1.0,-0.0,-0.5791816111212923,-0.4401654580202634,0.0
2018-12-20,-0.03481237656352864,-0.5729032258064517,1.0,-0.0,-0.580329163923634,-0.44524028966425283,0.0
2018-12-21,-0.02993587047939445,-0.5790843145500421,1.0,-0.0,-0.5912531539108494,-0.42798570227081584,0.0
2018-12-24,-0.008897728462263162,-0.5610541191248822,1.0,-0.0,-0.5929812624306501,-0.45407201926096513,0.0
2018-12-26,-0.0067454507425224845,-0.5616764275256223,1.0,-0.0,-0.5929721815519766,-0.4531217318552604,0.0
2018-12-27,-0.0,-0.544702749756772,1.0,-0.0,-0.5628808438732142,-0.4527113523477905,0.0
2018-12-28,-0.0,-0.5465779710886529,1.0,-0.0,-0.5614685940898043,-0.45047972367916084,0.0
2018-12-31,-0.0,-0.5499564705279869,1.0,-0.0,-0.5608388385312644,-0.4497618681825165,0.0
2019-01-02,-0.0,-0.5491570518560208,1.0,-0.0,-0.5586482130522653,-0.4504336258282381,0.0
2019-01-03,-0.007571660356949702,-0.5520358494939349,1.0,-0.0,-0.5873187565994489,-0.4284684127842591,0.0
2019-01-04,-0.0,-0.5588604836021437,1.0,-0.0,-0.5706300161542603,-0.4346521705684761,0.0
2019-01-07,-0.0,-0.5370734908136483,1.0,-0.0,-0.5666262870987281,-0.41999798102160313,0.0
2019-01-08,-0.0,-0.5279744061264076,1.0,-0.0,-0.5728140665541477,-0.4182935738216994,0.0
2019-01-09,-0.0,-0.5387010225777058,1.0,-0.0,-0.5762377240052647,-0.41621949984813206,0.0
2019-01-10,-0.0,-0.5384693257744483,1.0,-0.0,-0.5763059323749746,-0.41610143753796314,0.0
2019-01-11,-0.0,-0.530056030220825,1.0,-0.0,-0.5797733438125903,-0.4255000887356439,0.0
2019-01-14,-0.0,-0.5292057853336717,1.0,-0.0,-0.5776960162395331,-0.4305252473991372,0.0
2019-01-15,-0.0,-0.5245460317460318,1.0,-0.0,-0.573536507936508,-0.4416253968253968,0.0
2019-01-16,-0.0,-0.5247665448639871,1.0,-0.0,-0.5641240357287861,-0.44863987007714173,0.0
2019-01-17,-0.0,-0.5310912416175574,1.0,-0.0,-0.562436496647023,-0.44663178215809796,0.0
2019-01-18,-0.0,-0.5312954876273654,1.0,-0.0,-0.56436579075053,-0.45803008248423094,0.0
2019-01-22,-0.0,-0.546084546084546,1.0,-0.0,-0.6337876337876338,-0.3867970534637201,0.0
2019-01-23,-0.0,-0.511469598499833,1.0,-0.0,-0.6402938683243854,-0.41701559248889003,0.0
2019-01-24,-0.0,-0.5115627730099183,1.0,-0.0,-0.6405005395960738,-0.41746749576031655,0.0
2019-01-25,-0.0,-0.4885030623897021,1.0,-0.0,-0.72246444513651,-0.3842520502439531,0.0
2019-01-28,-0.0,-0.4790546682249059,1.0,-0.0,-0.735592780158421,-0.3824438384625373,0.0
2019-01-29,-0.0,-0.47368558178312753,1.0,-0.0,-0.7321140117763536,-0.39961440258454484,0.0
2019-01-30,-0.0,-0.47230328295987495,1.0,-0.0,-0.7303804064616989,-0.4028400208441897,0.0
2019-01-31,-0.0,-0.4800344278970293,1.0,-0.0,-0.6936438799196684,-0.43449570955374145,0.0
2019-02-01,-0.0,-0.4787735235170098,1.0,-0.0,-0.6876545459277962,-0.4364507144902262,0.0
2019-02-04,-0.0,-0.47809563474503475,1.0,-0.0,-0.6920373792852123,-0.43288127651820807,0.0
2019-02-05,-0.0,-0.47775608486268384,1.0,-0.0,-0.6910321489001692,-0.4343355460106729,0.0
2019-02-06,-0.0,-0.48697436430222585,1.0,-0.0,-0.6907872522791615,-0.4195735175709721,0.0
2019-02-07,-0.0,-0.49695034908770014,1.0,-0.0,-0.6987463988164759,-0.3997508370318461,0.0
2019-02-08,-0.0,-0.5091410031929138,1.0,-0.0,-0.7014625605108662,-0.36432691317334437,0.0
2019-02-11,-0.0,-0.5047574843351126,1.0,-0.0,-0.7014517418323406,-0.3723730692865063,0.0
2019-02-12,-0.0,-0.47623462203402567,1.0,-0.0,-0.6672847084763599,-0.36205557365137425,0.0
2019-02-13,-0.0,-0.47159317637669596,1.0,-0.0,-0.6648543495610535,-0.3575418994413408,0.0
2019-02-14,-0.0,-0.4611516910146088,1.0,-0.0,-0.6703772263358014,-0.369971983189914,0.0
2019-02-15,-0.0,-0.4781977471839799,1.0,-0.0,-0.6621526908635794,-0.3627784730913642,0.0
2019-02-19,-0.0,-0.4733600400600902,1.0,-0.0,-0.6678517776664997,-0.3625438157235854,0.0
