Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZEAL
2019-02-25,-0.0,-1.2785262807717899,-0.0,-3.247754491017964,-2.7904191616766467,0.0,1.0
2019-02-26,-0.0,-1.281057708298686,-0.0,-3.2458007650091467,-2.788458340262764,0.0,1.0
2019-02-27,-0.0,-1.2702747710241467,-0.0,-3.268692756036636,-2.787343880099917,0.0,1.0
2019-02-28,-0.0,-1.2698227805973874,-0.0,-3.262833846409851,-2.7875863216573755,0.0,1.0
2019-03-01,-0.0,-1.2627294625799483,-0.0,-3.26970678627793,-2.773818423457098,0.0,1.0
2019-03-04,-0.0,-1.2595293337752735,-0.0,-3.2397248922770965,-2.787122969837587,0.0,1.0
2019-03-05,-0.0,-1.2371902210314802,-0.0,-3.326356329537843,-2.8087742799732083,0.0,1.0
2019-03-06,-0.0,-1.2227410502170886,-0.0,-3.2353567625133124,-2.733923158843287,0.0,1.0
2019-03-07,-0.0,-1.1331472664587097,-0.0,-3.350681333114431,-2.7250041044163518,0.0,1.0
2019-03-08,-0.0,-1.0784394930837407,-0.0,-3.462105524724592,-2.7424003975813798,0.0,1.0
2019-03-11,-0.0,-1.082800941492939,-0.0,-3.47763954270343,-2.8458305312710155,0.0,1.0
2019-03-12,-0.0,-0.9583688064021796,-0.0,-3.550570406947046,-3.0045973097224588,0.0,1.0
2019-03-13,-0.0,-1.005406797116375,-0.0,-3.5727772056299347,-3.0040336422931686,0.0,1.0
2019-03-14,-0.0,-1.0128600823045268,-0.0,-3.5617283950617282,-2.9987997256515775,0.0,1.0
2019-03-15,-0.0,-0.964151266255989,-0.0,-3.5604893908282,-3.0310574948665296,0.0,1.0
2019-03-18,-0.0,-1.0310446212383257,-0.0,-3.5693531649948116,-3.0471290210999653,0.0,1.0
2019-03-19,-0.0,-1.0422142919314126,-0.0,-3.577770040908695,-3.0839933849769343,0.0,1.0
2019-03-20,-0.0,-1.041816114075759,-0.0,-3.584988190009623,-3.1213367159478613,0.0,1.0
2019-03-21,-0.0,-1.0795894480957955,-0.0,-3.860448365895381,-3.063293418564869,0.0,1.0
2019-03-22,-0.0,-1.0851821418789371,-0.0,-3.9738884323929513,-3.0708481694512915,0.0,1.0
2019-03-25,-0.0,-0.8307925470268341,-0.0,-4.027101720602657,-3.057145404297049,0.0,1.0
2019-03-26,-0.0,-0.8483573538626801,-0.0,-3.9982096499865722,-3.1050935457882014,0.0,1.0
2019-03-27,-0.0,-0.8198713366690492,-0.0,-4.011704789135096,-3.1033774124374554,0.0,1.0
2019-03-28,-0.0,-0.816227834497582,-0.0,-4.009851334408025,-3.1297689414293393,0.0,1.0
2019-03-29,-0.0,-0.7992841163310962,-0.0,-4.0127964205816555,-3.1364653243847873,0.0,1.0
2019-04-01,-0.0,-0.8517685176851769,-0.0,-4.029880298802988,-3.1184411844118443,0.0,1.0
2019-04-02,-0.0,-0.8675942549371634,-0.0,-4.037342908438061,-3.071633752244165,0.0,1.0
2019-04-03,-0.0,-0.8709417762275288,-0.0,-4.020928360611752,-3.051963151775333,0.0,1.0
2019-04-04,-0.0,-0.8509300265721877,-0.0,-3.9527015057573074,-3.053852967227635,0.0,1.0
