Date,CLDR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-07-12,1.0,-0.575113808801214,-0.25371775417298936,-1.711380880121396,-1.9040971168437026,-1.2449165402124431,-2.925341426403642,-1.3256449165402124,-0.4582701062215478,-1.5323216995447648,-1.4412746585735963,-1.6867981790591804,-0.6045523520485584,-0.0,-2.784522003034901,-3.316843702579666,-4.820030349013657,-1.554476479514416,-1.2094081942336874
2019-07-15,1.0,-0.6139740752450206,-0.19317104015175468,-1.7755295605437877,-2.0319317104015173,-1.3044577932342714,-3.044894087891243,-1.3895036357888082,-0.5197597217831174,-1.530825165981663,-1.574454631678786,-1.7891242491305723,-0.6999683844451471,-0.0,-2.9323427126146067,-3.389819791337338,-4.914005690799875,-1.6500158077774265,-1.261460638634208
2019-07-16,1.0,-0.6703365838313935,-0.20320855614973263,-1.7791758414595786,-1.983642654922932,-1.3035545769109782,-2.979553318653665,-1.3966656181189054,-0.5215476564957534,-1.6420257942749295,-1.6420257942749295,-1.7099716892104435,-0.8291915696759988,-0.0,-2.93048128342246,-3.2746146586977036,-4.749921358917899,-1.5627555835168294,-1.2780748663101604
2019-07-17,1.0,-0.6539692701664532,-0.20742637644046094,-1.7900128040973111,-2.037451984635083,-1.318822023047375,-3.0416133162612033,-1.4174135723431498,-0.5425736235595391,-1.6574903969270167,-1.5899487836107553,-1.7371959026888604,-0.9234955185659411,-0.0,-3.046414852752881,-3.3309859154929575,-4.832906530089629,-1.5761843790012804,-1.3066581306017926
2019-07-18,1.0,-0.6993166287015945,-0.21575008135372598,-1.8438008460787505,-2.0836316303286693,-1.3475431174747805,-3.1265863976570127,-1.416856492027335,-0.5750081353726001,-1.6407419459811259,-1.5886755613407095,-1.764725024406118,-0.754637162382037,-0.0,-3.184184835665474,-3.345590628050765,-4.969085584119752,-1.6944354051415553,-1.2905955092743249
2019-07-19,1.0,-0.7108160621761658,-0.22474093264248704,-1.824805699481865,-2.061528497409326,-1.3380829015544042,-3.099093264248704,-1.397020725388601,-0.6071891191709844,-1.6819948186528497,-1.5948834196891193,-1.7328367875647668,-0.7697538860103627,-0.0,-3.125647668393782,-3.3743523316062176,-4.86949481865285,-1.6645077720207253,-1.3069948186528497
2019-07-22,1.0,-0.734983498349835,-0.1825082508250825,-1.8996699669966997,-2.1082508250825085,-1.3805280528052806,-3.1099009900990096,-1.466006600660066,-0.6884488448844884,-1.6306930693069308,-1.7735973597359738,-1.7099009900990099,-0.9976897689768977,-0.0,-3.153135313531353,-3.2333333333333334,-4.925082508250825,-1.7105610561056106,-1.299009900990099
2019-07-23,1.0,-0.7501667778519012,-0.1591060707138092,-1.932621747831888,-2.1194129419613077,-1.3982655103402268,-3.149432955303536,-1.4796531020680452,-0.6947965310206805,-1.6374249499666444,-1.818545697131421,-1.7301534356237491,-1.0310206804536357,-0.0,-3.1647765176784524,-3.2845230153435625,-4.985990660440294,-1.7264843228819213,-1.2931954636424283
2019-07-24,1.0,-0.9619341563786008,-0.1354595336076818,-2.2067901234567904,-1.9746227709190673,-1.4972565157750344,-3.2424554183813443,-1.4139231824417011,-0.6131687242798354,-1.6625514403292183,-1.937928669410151,-1.6406035665294925,-1.1001371742112482,-0.032578875171467764,-3.155692729766804,-3.2740054869684503,-5.186556927297668,-1.7911522633744856,-1.466735253772291
2019-07-25,1.0,-0.9809215262778977,-0.12203023758099352,-2.241180705543557,-2.097912167026638,-1.5334773218142548,-3.3059755219582434,-1.486321094312455,-0.21706263498920086,-2.3138948884089277,-2.0399568034557234,-1.5385169186465084,-1.1360691144708424,-0.0,-3.5611951043916488,-3.3372930165586756,-5.656227501799856,-1.9312455003599713,-1.4978401727861772
2019-07-26,1.0,-0.9524150268336316,-0.06690518783542039,-2.2153846153846155,-2.0991055456171734,-1.5245080500894455,-3.316279069767442,-1.4651162790697676,-0.1849731663685152,-2.335599284436494,-1.9441860465116279,-1.5073345259391773,-1.162432915921288,-0.0,-3.5946332737030415,-3.3137745974955277,-5.631484794275493,-1.9155635062611807,-1.5481216457960645
2019-07-29,1.0,-0.9611170024743726,-0.0526687875574408,-2.165075998586073,-2.07847295864263,-1.521385648639095,-3.286320254506893,-1.4545775892541535,-0.14775539059738424,-2.1519971721456344,-1.9879816189466242,-1.4238246730293391,-1.2806645457758925,-0.0,-3.5075998586072816,-3.31954754330152,-5.5772357723577235,-1.864616472251679,-1.566631318487098
2019-07-30,1.0,-0.9769094138543516,-0.034458259325044406,-2.160923623445826,-2.0930728241563052,-1.5296625222024867,-3.3008880994671403,-1.4536412078152752,-0.16483126110124333,-2.180817051509769,-1.9939609236234457,-1.394671403197158,-1.3115452930728242,-0.0,-3.512255772646536,-3.353463587921847,-5.606749555950266,-1.8639431616341031,-1.5925399644760212
2019-07-31,1.0,-0.9606721487307831,-0.0657847693957812,-2.1451555237754736,-2.1144082946013585,-1.5130496961029676,-3.294243832677869,-1.3964962459778334,-0.22845906328208795,-2.299249195566679,-2.066857347157669,-1.3832677869145515,-1.3117626027887024,-0.0,-3.5337861994994637,-3.456918126564176,-5.59706828745084,-1.8105112620664998,-1.574901680371827
2019-08-01,1.0,-0.9351656095842144,-0.10147991543340382,-1.977448907681466,-2.0352360817477098,-1.485905567300916,-3.2431289640591965,-1.3601127554615928,-0.15891472868217055,-2.31677237491191,-2.2339675828047922,-1.4985905567300917,-1.2660324171952078,-0.0,-3.2279774489076813,-3.481677237491191,-5.547216349541931,-1.842847075405215,-1.5236081747709656
2019-08-02,1.0,-1.0430839002267573,-0.02418745275888133,-2.1912320483749053,-2.062358276643991,-1.5918367346938773,-3.5627362055933487,-1.4342403628117912,-0.264172335600907,-2.533257747543462,-2.2978080120937263,-1.4289493575207861,-1.2418745275888132,-0.0,-3.5196523053665913,-3.789871504157218,-6.183673469387754,-2.073318216175359,-1.5502645502645502
