Date,CCJ,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-25,1.0,-0.0,-0.8247911210874174,-0.0,-1.2822463316290478,-1.0497568275346052,0.0
2019-02-26,1.0,-0.0,-0.8263473053892216,-0.0,-1.2876330671989353,-1.0443695941450433,0.0
2019-02-27,1.0,-0.0,-0.8321192190817134,-0.0,-1.29059651167631,-1.039961703367606,0.0
2019-02-28,1.0,-0.0,-0.8301878931800192,-0.0,-1.289005540974045,-1.046952464275299,0.0
2019-03-01,1.0,-0.0,-0.8362460896767466,-0.0,-1.278248175182482,-1.056517205422315,0.0
2019-03-04,1.0,-0.0,-0.8221017514595497,-0.0,-1.2788156797331107,-1.0692243536280233,0.0
2019-03-05,1.0,-0.0,-0.8152999082339201,-0.0,-1.2894802702928172,-1.0664052723784099,0.0
2019-03-06,1.0,-0.0,-0.8062151128884445,-0.0,-1.2978838623677416,-1.0615262850953928,0.0
2019-03-07,1.0,-0.0,-0.7175506148304558,-0.0,-1.368111621744711,-1.0546101933507226,0.0
2019-03-08,1.0,-0.0,-0.7008160703075957,-0.0,-1.4215526260724,-1.0626490897677339,0.0
2019-03-11,1.0,-0.0,-0.7000253785635734,-0.0,-1.4182387276880128,-1.1114964892987058,0.0
2019-03-12,1.0,-0.0,-0.6410519563822963,-0.0,-1.4486209108402823,-1.186572589266624,0.0
2019-03-13,1.0,-0.0,-0.6633842184476456,-0.0,-1.45413889486132,-1.1825843904536657,0.0
2019-03-14,1.0,-0.0,-0.6669530109097157,-0.0,-1.4472983420668326,-1.1809122927583542,0.0
2019-03-15,1.0,-0.0,-0.6534208707671043,-0.0,-1.4666551485832755,-1.1992052522460261,0.0
2019-03-18,1.0,-0.0,-0.6790556638509855,-0.0,-1.4518085336798787,-1.2009529997834092,0.0
2019-03-19,1.0,-0.0,-0.6733783666753269,-0.0,-1.460162812851823,-1.1965878583181777,0.0
2019-03-20,1.0,-0.0,-0.683539915055907,-0.0,-1.447950073675999,-1.2023923030250498,0.0
2019-03-21,1.0,-0.0,-0.6792672916576662,-0.0,-1.4649414610964704,-1.1760055298742818,0.0
2019-03-22,1.0,-0.0,-0.6743567378979503,-0.0,-1.5230702136938508,-1.1636720453554297,0.0
2019-03-25,1.0,-0.0,-0.5758202906049239,-0.0,-1.5691803561419393,-1.1666451084378906,0.0
2019-03-26,1.0,-0.0,-0.5902699418453259,-0.0,-1.568223244510025,-1.1813644648902004,0.0
2019-03-27,1.0,-0.0,-0.568301036112195,-0.0,-1.583907746997876,-1.182988685134608,0.0
2019-03-28,1.0,-0.0,-0.5591369898622304,-0.0,-1.5708344164283858,-1.202408803396586,0.0
2019-03-29,1.0,-0.0,-0.55342287694974,-0.0,-1.5714038128249566,-1.2079722703639515,0.0
2019-04-01,1.0,-0.0,-0.5700047666507778,-0.0,-1.5761580794730683,-1.1871560428131904,0.0
2019-04-02,1.0,-0.0,-0.5897336101020584,-0.0,-1.5983826327624977,-1.136395087355129,0.0
2019-04-03,1.0,-0.0,-0.5889220391749902,-0.0,-1.5962295152851644,-1.1387988065897003,0.0
2019-04-04,1.0,-0.0,-0.5835967609232235,-0.0,-1.6029965790499285,-1.143723206166371,0.0
2019-04-05,1.0,-0.0,-0.5734114075037953,-0.0,-1.6136629798308393,-1.1503795272175232,0.0
2019-04-08,1.0,-0.0,-0.5586459680896938,-0.0,-1.6021129797326434,-1.1514445881845623,0.0
2019-04-09,1.0,-0.0,-0.5399844047825334,-0.0,-1.6458152833131172,-1.1462051637497834,0.0
2019-04-10,1.0,-0.0,-0.5234838318687502,-0.0,-1.6653391628068048,-1.139993939656292,0.0
2019-04-11,1.0,-0.0,-0.4971465629053177,-0.0,-1.7103761348897537,-1.1158668396022482,0.0
2019-04-12,1.0,-0.0,-0.500538027805277,-0.0,-1.69246330650368,-1.1112211079068566,0.0
2019-04-15,1.0,-0.0,-0.5074948311509303,-0.0,-1.6738456237077877,-1.1260337698139213,0.0
2019-04-16,1.0,-0.0,-0.4814296616636988,-0.0,-1.6408462647333166,-1.1175273467311118,0.0
2019-04-17,1.0,-0.0,-0.441713898993317,-0.0,-1.6744353269604941,-1.1135690719905253,0.0
2019-04-18,1.0,-0.0,-0.4270956816257409,-0.0,-1.6737510584250637,-1.132895850973751,0.0
2019-04-22,1.0,-0.0,-0.4293720545153484,-0.0,-1.6771536534624039,-1.1392603914575639,0.0
2019-04-23,1.0,-0.0,-0.4300522537066146,-0.0,-1.6853307277284508,-1.132885849016526,0.0
2019-04-24,1.0,-0.0,-0.4086779315615182,-0.0,-1.6858283094166595,-1.1510571452831793,0.0
2019-04-25,1.0,-0.0,-0.38605187812486647,-0.0,-1.708473996837742,-1.1787957779582068,0.0
2019-04-26,1.0,-0.0,-0.37947289479322904,-0.0,-1.708335118920077,-1.1976001714163274,0.0
2019-04-29,1.0,-0.0,-0.3724448253696165,-0.0,-1.7080779944289692,-1.2048853653310478,0.0
2019-04-30,1.0,-0.0,-0.3667196153350792,-0.0,-1.7224917357145926,-1.203923925642897,0.0
2019-05-01,1.0,-0.0,-0.3690834120780002,-0.0,-1.7258397044927412,-1.2002834808006184,0.0
2019-05-02,1.0,-0.0,-0.3721768999570631,-0.0,-1.7096607986260197,-1.2118076427651352,0.0
2019-05-03,1.0,-0.0,-0.357570794362312,-0.0,-1.7286323865350632,-1.2239127623809318,0.0
2019-05-06,1.0,-0.0,-0.34629797131412327,-0.0,-1.7315329284575958,-1.2293577981651378,0.0
2019-05-07,1.0,-0.0,-0.34223007933770266,-0.0,-1.7349085891686788,-1.2346929975853742,0.0
2019-05-08,1.0,-0.0,-0.3191373305920363,-0.0,-1.6490160701548275,-1.2277094784542444,0.0
2019-05-09,1.0,-0.0,-0.32148558944626504,-0.0,-1.6448617763213176,-1.2349802537601882,0.0
2019-05-10,1.0,-0.0,-0.32321788836583726,-0.0,-1.6504707464694015,-1.2293628110289174,0.0
2019-05-13,1.0,-0.0,-0.32279625036781706,-0.0,-1.6472319139097902,-1.23359535919963,0.0
2019-05-14,1.0,-0.0,-0.2665558786871624,-0.0,-1.6628167843788948,-1.2251350228500206,0.0
2019-05-15,1.0,-0.0,-0.26207212078359604,-0.0,-1.6864368007320218,-1.2107058187414217,0.0
2019-05-16,1.0,-0.0,-0.2601823959064086,-0.0,-1.6619898485536253,-1.2044319729294766,0.0
2019-05-17,1.0,-0.0,-0.2527386218014964,-0.0,-1.660328221239304,-1.2207019139349347,0.0
2019-05-20,1.0,-0.0,-0.23852760736196318,-0.0,-1.6459713701431493,-1.2054805725971371,0.0
2019-05-21,1.0,-0.0,-0.22302832687996738,-0.0,-1.6493988180150803,-1.2033829223558181,0.0
2019-05-22,1.0,-0.0,-0.21899968040907639,-0.0,-1.6130552892297858,-1.1628715244487058,0.0
2019-05-23,1.0,-0.0,-0.20146374448112644,-0.0,-1.599180621295891,-1.1769619346883575,0.0
2019-05-24,1.0,-0.0,-0.16309183349221482,-0.0,-1.616777883698761,-1.192127422942485,0.0
2019-05-28,1.0,-0.0,-0.14456919891702502,-0.0,-1.6329033285555024,-1.204053193183628,0.0
2019-05-29,1.0,-0.0,-0.15216786551683026,-0.0,-1.6411795095974246,-1.1807415649962245,0.0
2019-05-30,1.0,-0.0,-0.14744403873630735,-0.0,-1.6358945864422922,-1.185545324654707,0.0
2019-05-31,1.0,-0.0,-0.14798206278026904,-0.0,-1.6290725822453271,-1.1913567998730108,0.0
2019-06-03,1.0,-0.0,-0.16671271263369777,-0.002407546276196866,-1.6473931404665114,-1.1302837747168175,0.0
2019-06-04,1.0,-0.0,-0.17281315467014507,-0.0,-1.626427922052255,-1.1534843274437727,0.0
2019-06-05,1.0,-0.0,-0.17364637862332996,-0.021173529181967344,-1.653449488241269,-1.0582467380264085,0.0
2019-06-06,1.0,-0.0,-0.1846882090603239,-0.0,-1.63559189421798,-1.0918159768406228,0.0
2019-06-07,1.0,-0.0,-0.20054570259208732,-0.0,-1.6139933736113818,-1.0833365815630482,0.0
2019-06-10,1.0,-0.0,-0.20863588708111677,-0.001514386673397274,-1.5922805110084262,-1.0806119675377626,0.0
2019-06-11,1.0,-0.0,-0.20504719556907716,-0.02722521257508386,-1.5946641703721038,-1.0735236757937436,0.0
2019-06-12,1.0,-0.0,-0.2103847503215998,-0.0291583830351226,-1.5889369664366741,-1.0696994503566835,0.0
2019-06-13,1.0,-0.0,-0.23613602683098045,-0.05034708681070119,-1.5653615162623822,-1.0480071757273226,0.0
2019-06-14,1.0,-0.0,-0.23578980220809112,-0.056255608005305664,-1.5657160691296375,-1.0434205906448717,0.0
2019-06-17,1.0,-0.0,-0.2351039800607524,-0.05607913388893215,-1.5551834255004282,-1.0480567022353766,0.0
2019-06-18,1.0,-0.0,-0.23511313626981345,-0.060014799236670954,-1.5496358608871752,-1.0497721696459867,0.0
2019-06-19,1.0,-0.0,-0.22896996541943507,-0.07013249407467848,-1.5457901076271519,-1.0406030228853402,0.0
2019-06-20,1.0,-0.0,-0.24674471620107416,-0.05486650438545652,-1.5293458521695453,-1.032881264247904,0.0
2019-06-21,1.0,-0.0,-0.2505507246376812,-0.05654106280193237,-1.5244444444444447,-1.0331980676328505,0.0
2019-06-24,1.0,-0.0,-0.23437560540896588,-0.058351737765895625,-1.5252431322406914,-1.056646906118021,0.0
2019-06-25,1.0,-0.0,-0.2259764414135152,-0.06075635461872288,-1.5294482331060137,-1.0585477371357719,0.0
2019-06-26,1.0,-0.0,-0.22567263704737534,-0.05950996355741646,-1.5268279444832131,-1.064860044971699,0.0
2019-06-27,1.0,-0.0,-0.21312303329318982,-0.06825686647760382,-1.5239889670175983,-1.0794840915271355,0.0
2019-06-28,1.0,-0.0,-0.17750904071236925,-0.0792083057899444,-1.5487420772251816,-1.082941245090796,0.0
2019-07-01,1.0,-0.0,-0.17541882069421233,-0.07995491118280407,-1.5444474676409998,-1.0871069304621603,0.0
2019-07-02,1.0,-0.0,-0.18061161130083822,-0.07323036324122943,-1.5376047811238744,-1.0892968022353304,0.0
2019-07-03,1.0,-0.0,-0.18291500174574232,-0.07180820110951623,-1.5336540326647787,-1.0910501609962369,0.0
