Date,IWF,IWM,MTUM,SDY,SPY,TFC,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-08,-0.0,-0.0,-0.0,-0.1864264426984557,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9376591709563804,-0.0,-0.0,-0.1573557301544297,-0.0614738553237605,-0.36640476835545926,-0.0,-0.0
2019-04-09,-0.0,-0.0,-0.0,-0.17614540355418926,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9342825553488121,-0.0,-0.0,-0.18499042688024162,-0.052395976593048024,-0.34883909068845564,-0.0,-0.0
2019-04-10,-0.0,-0.0,-0.0,-0.1859422677071801,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9314665298517538,-0.0,-0.0,-0.1827829233386439,-0.052763751248886125,-0.347338859935733,-0.0,-0.0
2019-04-11,-0.0,-0.0,-0.0,-0.1968109711300373,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9352398574188457,-0.0,-0.0,-0.17253952273407525,-0.07210688144540284,-0.344317161437784,-0.0,-0.0
2019-04-12,-0.0,-0.0,-0.0,-0.2053777765694244,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9286860063619803,-0.0,-0.0,-0.16668932329191702,-0.0749299910279764,-0.34311193279138685,-0.0,-0.0
2019-04-15,-0.0,-0.0,-0.0,-0.1947853582721475,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9494077924861997,-0.0,-0.0,-0.14296050163459992,-0.06876038372903157,-0.32373117530414275,-0.0,-0.0
2019-04-16,-0.0,-0.0,-0.0,-0.19934570417247668,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.95457470771211,-0.0,-0.0,-0.12278772927169367,-0.07816689906682399,-0.32669205191461975,-0.0,-0.0
2019-04-17,-0.0,-0.0,-0.0,-0.23181035624420607,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9353463117467885,-0.0,-0.0,-0.13889551052840685,-0.027546020394649713,-0.3151105813799497,-0.0,-0.0
2019-04-18,-0.0,-0.0,-0.0,-0.2381784947945641,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9428594134943973,-0.0,-0.0,-0.13099684759861188,-0.005642533577048399,-0.33137301650374845,-0.0,-0.0
2019-04-22,-0.0,-0.0,-0.0,-0.21638978822780108,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9514091608725652,-0.0,-0.0,-0.13812961095483256,-0.002388408258585001,-0.34546998566955045,-0.0,-0.0
2019-04-23,-0.0,-0.0,-0.0,-0.2002176278563656,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9487778338066296,-0.0,-0.0,-0.13726478940523898,-0.0,-0.36776453727540537,-0.0,-0.0
2019-04-24,-0.0,-0.0,-0.0,-0.17599246400215315,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9599515542995559,-0.0,-0.0,-0.16600726685506662,-0.004144798815771767,-0.3853317184766519,-0.0,-0.0
