Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XEC
2019-05-31,-0.0,-0.40071215634316,-0.0,-1.60591255382577,-1.133860549850944,0.0,1.0
2019-06-03,-0.0,-0.40710517639301025,-0.0,-1.606330365974283,-1.1079376854599408,0.0,1.0
2019-06-04,-0.0,-0.3589483094928479,-0.0,-1.586272756827048,-1.1185386866059819,0.0,1.0
2019-06-05,-0.0,-0.3297094208401614,-0.0,-1.6044606099364482,-1.0627922778688197,0.0,1.0
2019-06-06,-0.0,-0.3409403021245658,-0.0,-1.5519428063656193,-1.1462153647305922,0.0,1.0
2019-06-07,-0.0,-0.35285564262056707,-0.0,-1.5426932708619436,-1.1435495597382663,0.0,1.0
2019-06-10,-0.0,-0.3712912912912913,-0.0,-1.4901301301301302,-1.1425825825825826,0.0,1.0
2019-06-11,-0.0,-0.3716810604539064,-0.0,-1.4990962040570395,-1.1460935930909821,0.0,1.0
2019-06-12,-0.0,-0.3591526778577138,-0.0,-1.4911270983213432,-1.1465227817745804,0.0,1.0
2019-06-13,-0.0,-0.38728623941185875,-0.0,-1.4710723989132173,-1.137166373661499,0.0,1.0
2019-06-14,-0.0,-0.398714859437751,-0.0,-1.46570281124498,-1.1516465863453815,0.0,1.0
2019-06-17,-0.0,-0.41071069055768067,-0.0,-1.4508959130259713,-1.1649687940406686,0.0,1.0
2019-06-18,-0.0,-0.4500020007202593,-0.0,-1.416069785122644,-1.1353687327437878,0.0,1.0
2019-06-19,-0.0,-0.43739765965094457,-0.0,-1.423259714844842,-1.1330724070450098,0.0,1.0
2019-06-20,-0.0,-0.44025937637593565,-0.0,-1.424688788376096,-1.1377736861065524,0.0,1.0
2019-06-21,-0.0,-0.44135196828320855,-0.0,-1.4258940370830164,-1.1374394297384967,0.0,1.0
2019-06-24,-0.0,-0.43135052745577795,-0.0,-1.4263767999679113,-1.1533432273073685,0.0,1.0
2019-06-25,-0.0,-0.4289782983673633,-0.0,-1.4281359059729632,-1.154278149945846,0.0,1.0
2019-06-26,-0.0,-0.42585902376364804,-0.0,-1.4056679511881822,-1.1826027617212587,0.0,1.0
2019-06-27,-0.0,-0.4023849810651841,-0.0,-1.4049633389734912,-1.2213359116912417,0.0,1.0
2019-06-28,-0.0,-0.3918119238355944,-0.0,-1.413026850770903,-1.220764059417898,0.0,1.0
2019-07-01,-0.0,-0.3891615706469263,-0.0,-1.4093579015127133,-1.2246540070807854,0.0,1.0
2019-07-02,-0.0,-0.3921363672911474,-0.0,-1.4058454611240654,-1.2222802926750826,0.0,1.0
2019-07-03,-0.0,-0.4062148255346519,-0.0,-1.3841051616015436,-1.2296591091815403,0.0,1.0
2019-07-05,-0.0,-0.388433734939759,-0.0,-1.3903614457831326,-1.237269076305221,0.0,1.0
2019-07-08,-0.0,-0.3929561061804747,-0.0,-1.382514758443436,-1.2404321111601944,0.0,1.0
2019-07-09,-0.0,-0.39697177143317364,-0.0,-1.3888374340595175,-1.2411307534329319,0.0,1.0
2019-07-10,-0.0,-0.4113766191970392,-0.0,-1.3760559980690321,-1.23541716952289,0.0,1.0
2019-07-11,-0.0,-0.40990138860937814,-0.0,-1.38184745421614,-1.2332461259810827,0.0,1.0
2019-07-12,-0.0,-0.4360716741495773,-0.0,-1.39469320066335,-1.2140516927557334,0.0,1.0
2019-07-15,-0.0,-0.4673460309757774,-0.0,-1.3856201221238222,-1.1908690201787373,0.0,1.0
2019-07-16,-0.0,-0.49880086175358723,-0.0,-1.4045364009593106,-1.1615381488557375,0.0,1.0
2019-07-17,-0.0,-0.5106304985337244,-0.0,-1.4097018572825024,-1.1526963180188987,0.0,1.0
2019-07-18,-0.0,-0.509652981427175,-0.0,-1.4074209840338874,-1.1559547083740633,0.0,1.0
2019-07-19,-0.0,-0.5148204020059526,-0.0,-1.4121988013209934,-1.150120275614629,0.0,1.0
2019-07-22,-0.0,-0.4790011813108477,-0.0,-1.4007087865086154,-1.1937757138783656,0.0,1.0
2019-07-23,-0.0,-0.4778004073319756,-0.0,-1.4015885947046844,-1.1939307535641548,0.0,1.0
2019-07-24,-0.0,-0.47920558849809114,-0.0,-1.3950532044513038,-1.1871090894322152,0.0,1.0
2019-07-25,-0.0,-0.4541548407442447,-0.0,-1.340389467045096,-1.1474298328602963,0.0,1.0
2019-07-26,-0.0,-0.46184881927138965,-0.0,-1.3422332977334759,-1.1514971717890907,0.0,1.0
2019-07-29,-0.0,-0.43023715415019764,-0.0,-1.3422529644268775,-1.1800790513833992,0.0,1.0
2019-07-30,-0.0,-0.42866141732283464,-0.0,-1.3339370078740158,-1.1744094488188976,0.0,1.0
2019-07-31,-0.0,-0.5314811113332002,-0.0,-1.3228063162102741,-1.1433140115930442,0.0,1.0
2019-08-01,-0.0,-0.5417115070349555,-0.0,-1.3140818685479692,-1.1300171389852125,0.0,1.0
2019-08-02,-0.0,-0.5453519764677438,-0.0,-1.3113188540113632,-1.1728250795825441,0.0,1.0
2019-08-05,-0.0,-0.5397852921072736,-0.0,-1.3007518796992483,-1.180250090466809,0.0,1.0
2019-08-06,-0.0,-0.5418285623661883,-0.0,-1.2468876377765443,-1.1760367932757116,0.0,1.0
2019-08-07,-0.0,-0.5496667724531894,-0.0,-1.2210012694382735,-1.1963265629958741,0.0,1.0
2019-08-08,-0.0,-0.5450109105336243,-0.0,-1.2201944058718508,-1.20230113072803,0.0,1.0
2019-08-09,-0.0,-0.5265277119848413,-0.0,-1.1992736459813675,-1.221774830254224,0.0,1.0
2019-08-12,-0.0,-0.5236479823281133,-0.0,-1.2053567906591456,-1.2156127963393948,0.0,1.0
2019-08-13,-0.0,-0.5083089340824563,-0.0,-1.2165862150826934,-1.2317401281949827,0.0,1.0
2019-08-14,-0.0,-0.5088121394135778,-0.0,-1.2105824705603414,-1.2322374140520034,0.0,1.0
2019-08-15,-0.0,-0.5188400078911027,-0.0,-1.2057210495166697,-1.2210297889130006,0.0,1.0
2019-08-16,-0.0,-0.5070777966168526,-0.0,-1.2158037932258192,-1.2201805922479398,0.0,1.0
2019-08-19,-0.0,-0.5176950818372765,-0.0,-1.216898505924781,-1.2284706535092933,0.0,1.0
2019-08-20,-0.0,-0.5208292123274122,-0.0,-1.2141472484867666,-1.2211892234046762,0.0,1.0
2019-08-21,-0.0,-0.5212669325856009,-0.0,-1.2190276845306267,-1.2089964851309192,0.0,1.0
2019-08-22,-0.0,-0.523894084684898,-0.0,-1.215855727871828,-1.206424371571761,0.0,1.0
2019-08-23,-0.0,-0.5298478038009621,-0.0,-1.2153221354782746,-1.197736771547985,0.0,1.0
2019-08-26,-0.0,-0.51880081300813,-0.0,-1.2036429018136334,-1.1862492182614133,0.0,1.0
2019-08-27,-0.0,-0.5148761941899005,-0.0,-1.190368492883603,-1.1941899005654124,0.0,1.0
2019-08-28,-0.0,-0.5144152522669146,-0.0,-1.1876307835387119,-1.1730605285592497,0.0,1.0
2019-08-29,-0.0,-0.5276844295087214,-0.0,-1.2205152824451913,-1.2524403904624741,0.0,1.0
2019-08-30,-0.0,-0.5107128634010354,-0.0,-1.2313022700119476,-1.2404221425726805,0.0,1.0
2019-09-03,-0.0,-0.5159992030284917,-0.0,-1.2270970312811316,-1.2417613070332736,0.0,1.0
2019-09-04,-0.0,-0.5237505987545904,-0.0,-1.228963755388791,-1.2390228325083825,0.0,1.0
2019-09-05,-0.0,-0.5426005404546177,-0.0,-1.2196789063741855,-1.2116118264186935,0.0,1.0
2019-09-06,-0.0,-0.5432918395573997,-0.0,-1.2183758150563129,-1.1901205295396167,0.0,1.0
2019-09-09,-0.0,-0.567121774129903,-0.0,-1.2117828111435562,-1.167153342277642,0.0,1.0
2019-09-10,-0.0,-0.5769185103098904,-0.0,-1.144852970277437,-1.2359599477579453,0.0,1.0
2019-09-11,-0.0,-0.5646201955428887,-0.0,-1.1738906701500216,-1.21988679095911,0.0,1.0
2019-09-12,-0.0,-0.555410484668645,-0.0,-1.179030662710188,-1.2219980217606332,0.0,1.0
2019-09-13,-0.0,-0.5546868799111041,-0.0,-1.1661242955790143,-1.2477974442416064,0.0,1.0
2019-09-16,-0.0,-0.5693300328693747,-0.0,-1.2079292293957715,-1.2806476484194294,0.0,1.0
2019-09-17,-0.0,-0.716441317339889,-0.0,-1.2933497223752808,-1.2287119060738354,0.0,1.0
2019-09-18,-0.0,-0.7445193209929198,-0.0,-1.27774460462339,-1.2428132730529726,0.0,1.0
2019-09-19,-0.0,-0.7352176322632903,-0.0,-1.2924073837234087,-1.2354947350471075,0.0,1.0
2019-09-20,-0.0,-0.7513967671770375,-0.0,-1.292190898622425,-1.2213502793534354,0.0,1.0
2019-09-23,-0.0,-0.7604242088674986,-0.0,-1.275480216363559,-1.223263341709613,0.0,1.0
2019-09-24,-0.0,-0.7613510520487264,-0.0,-1.275790101371497,-1.2221228384019083,0.0,1.0
2019-09-25,-0.0,-0.7664790654046219,-0.0,-1.2632386799693016,-1.2339046644495608,0.0,1.0
2019-09-26,-0.0,-0.7328761177185519,-0.0,-1.3904852851810054,-1.2172931678097059,0.0,1.0
2019-09-27,-0.0,-0.7015578505163661,-0.0,-1.4292840889200071,-1.245142657097847,0.0,1.0
2019-09-30,-0.0,-0.6281628162816281,-0.0,-1.4859845984598459,-1.2862486248624863,0.0,1.0
2019-10-01,-0.0,-0.6177584081704526,-0.0,-1.493044550096848,-1.2913805247402712,0.0,1.0
2019-10-02,-0.0,-0.6769101521047046,-0.0,-1.500265298903431,-1.244428723027945,0.0,1.0
2019-10-03,-0.0,-0.7602941824107103,-0.0,-1.47108821068393,-1.1725459109525698,0.0,1.0
2019-10-04,-0.0,-0.7757988244133115,-0.0,-1.4762009988067353,-1.1674990056127637,0.0,1.0
2019-10-07,-0.0,-0.8060963791736411,-0.0,-1.441194608404546,-1.1576072592723108,0.0,1.0
2019-10-08,-0.0,-0.8035895400626185,-0.0,-1.4472372888830092,-1.1588834501918241,0.0,1.0
2019-10-09,-0.0,-0.7992719936847644,-0.0,-1.4354881150776249,-1.150820103499693,0.0,1.0
2019-10-10,-0.0,-0.85110646066165,-0.0,-1.4253083396411237,-1.1761431942651053,0.0,1.0
2019-10-11,-0.0,-0.8587034383954154,-0.0,-1.4128760744985673,-1.2054978510028653,0.0,1.0
2019-10-14,-0.0,-0.8288664421997755,-0.0,-1.4816161616161616,-1.1788552188552188,0.0,1.0
2019-10-15,-0.0,-0.8226664877677892,-0.0,-1.4534639295138423,-1.1963415179569747,0.0,1.0
2019-10-16,-0.0,-0.8535114950285688,-0.0,-1.4804966932109596,-1.1650245197282585,0.0,1.0
2019-10-17,-0.0,-0.8405424889609804,-0.0,-1.4940524466071912,-1.1711273317112731,0.0,1.0
2019-10-18,-0.0,-0.8450373049966086,-0.0,-1.4840153741804203,-1.1927198733891025,0.0,1.0
2019-10-21,-0.0,-0.8209523809523809,-0.0,-1.5006802721088437,-1.2135147392290249,0.0,1.0
2019-10-22,-0.0,-0.8370356965117858,-0.0,-1.489209609555264,-1.1980726598199338,0.0,1.0
2019-10-23,-0.0,-0.8336882163729442,-0.0,-1.4754224618311964,-1.2213111040637883,0.0,1.0
2019-10-24,-0.0,-0.8400494874513963,-0.0,-1.375751148815836,-1.202721809826794,0.0,1.0
2019-10-25,-0.0,-0.8397475505340277,-0.0,-1.3773942978197544,-1.1963103539588666,0.0,1.0
2019-10-28,-0.0,-0.87161595194983,-0.0,-1.3491145166276552,-1.1956454533409886,0.0,1.0
2019-10-29,-0.0,-0.8690784191274868,-0.0,-1.4066375234186814,-1.1849852796859666,0.0,1.0
2019-10-30,-0.0,-0.8662028364998662,-0.0,-1.4077245562394076,-1.185978057265186,0.0,1.0
2019-10-31,-0.0,-0.8621027766635467,-0.0,-1.356687614208673,-1.2381334402995052,0.0,1.0
2019-11-01,-0.0,-0.8632653971368683,-0.0,-1.3651161753556615,-1.2313249788163938,0.0,1.0
2019-11-04,-0.0,-0.861952111294422,-0.0,-1.3669237972087216,-1.2300352253979578,0.0,1.0
2019-11-05,-0.0,-0.8765113435674501,-0.0,-1.3936965086265454,-1.2582076710591859,0.0,1.0
2019-11-06,-0.0,-0.8716779869626657,-0.0,-1.4145051739070977,-1.2723708802479827,0.0,1.0
2019-11-07,-0.0,-0.8800492386249658,-0.0,-1.4098203702015135,-1.269262332451901,0.0,1.0
2019-11-08,-0.0,-0.8980628771038426,-0.0,-1.386789456970467,-1.2517352447488999,0.0,1.0
2019-11-11,-0.0,-0.889937106918239,-0.0,-1.4056148026615625,-1.2619633579436695,0.0,1.0
2019-11-12,-0.0,-0.8910425978290613,-0.0,-1.4073246374167654,-1.2624737754264344,0.0,1.0
2019-11-13,-0.0,-0.9107274401473296,-0.031767955801104975,-1.4129834254143647,-1.248572744014733,0.0,1.0
2019-11-14,-0.0,-0.899533896349624,-0.07051548294799022,-1.3988647376436385,-1.2459735105450183,0.0,1.0
2019-11-15,-0.0,-0.8959582910399557,-0.09287625726677125,-1.3775491372150965,-1.2474393282273692,0.0,1.0
2019-11-18,-0.0,-0.8919855795895729,-0.09266962469957478,-1.381540025882788,-1.2556849694952856,0.0,1.0
2019-11-19,-0.0,-0.9600737100737101,-0.08944433944433944,-1.402239652239652,-1.2732470232470232,0.0,1.0
2019-11-20,-0.0,-0.950336385722295,-0.08834797234161838,-1.3696038123715193,-1.2637824705662493,0.0,1.0
2019-11-21,-0.0,-0.9201822236985716,-0.18397949983391068,-1.3381103782090829,-1.3031367152280169,0.0,1.0
2019-11-22,-0.0,-0.9069844579226687,-0.18622062168309325,-1.3514499620924945,-1.2937831690674753,0.0,1.0
2019-11-25,-0.0,-0.9071310116086236,-0.18630656242596544,-1.3515754560530682,-1.2931532812129827,0.0,1.0
2019-11-26,-0.0,-0.8887994316836372,-0.18868103244139237,-1.3556239640066303,-1.3027705422685294,0.0,1.0
2019-11-27,-0.0,-0.886135777714122,-0.16986536808937266,-1.3719564594672014,-1.346271364460995,0.0,1.0
2019-11-29,-0.0,-0.8896634615384615,-0.19774038461538462,-1.3854807692307693,-1.3348076923076924,0.0,1.0
2019-12-02,-0.0,-0.9001069934831242,-0.25415815582141815,-1.380167298900885,-1.3289076938041047,0.0,1.0
