Date,GSBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-25,1.0,-0.0,-0.7241702948614334,-0.0,-0.35093985452459786,-0.5319759105248064,0.0
2019-06-26,1.0,-0.0,-0.7217756667884544,-0.0,-0.3295057153296101,-0.5584581658750457,0.0
2019-06-27,1.0,-0.0,-0.7186251207981822,-0.0,-0.34076840703110717,-0.5524590592106982,0.0
2019-06-28,1.0,-0.0,-0.7171693432562998,-0.0,-0.34153283718501104,-0.5526047786917352,0.0
2019-07-01,1.0,-0.0,-0.7202009160941077,-0.0,-0.34015198834062044,-0.54218717468249,0.0
2019-07-02,1.0,-0.0,-0.721072497722244,-0.0,-0.34109071977092287,-0.5410126252765847,0.0
2019-07-03,1.0,-0.0,-0.7208109937015251,-0.0,-0.3401696944458904,-0.5416948623184634,0.0
2019-07-05,1.0,-0.0,-0.6912828222608154,-0.0,-0.349983151455455,-0.5508178024313746,0.0
2019-07-08,1.0,-0.0,-0.6962084447097293,-0.0,-0.3450029844548828,-0.5539667298160019,0.0
2019-07-09,1.0,-0.0,-0.7030150362271794,-0.0,-0.3457812865193341,-0.548134105487314,0.0
2019-07-10,1.0,-0.0,-0.6990518249123263,-0.0,-0.3504351214443434,-0.5482789972723731,0.0
2019-07-11,1.0,-0.0,-0.6986954144207485,-0.0,-0.3583834596255501,-0.5468843579928652,0.0
2019-07-12,1.0,-0.0,-0.7006613205582172,-0.0,-0.35620183295146846,-0.5467610914392835,0.0
2019-07-15,1.0,-0.0,-0.6990807052266986,-0.0,-0.35680616682726113,-0.548373655563947,0.0
2019-07-16,1.0,-0.0,-0.705313127624612,-0.0,-0.3555648295469365,-0.5474321187302746,0.0
2019-07-17,1.0,-0.0,-0.7145502438515505,-0.0,-0.3506507054742717,-0.5428370237070652,0.0
2019-07-18,1.0,-0.0,-0.7140883617880881,-0.0,-0.3507884790824971,-0.5416655806073244,0.0
2019-07-19,1.0,-0.0,-0.7138308146060084,-0.0,-0.35058596298906375,-0.5456894526661968,0.0
2019-07-22,1.0,-0.0,-0.6851875926262967,-0.0,-0.34351680923532923,-0.571305998283976,0.0
2019-07-23,1.0,-0.0,-0.6882495252464818,-0.0,-0.341406310970058,-0.5717593194766005,0.0
2019-07-24,1.0,-0.0,-0.6902733035435935,-0.0,-0.3416813883404344,-0.5659877377117323,0.0
2019-07-25,1.0,-0.0,-0.6932106763410211,-0.0,-0.3368230111427831,-0.5613371339725317,0.0
2019-07-26,1.0,-0.0,-0.6874660035744812,-0.0,-0.33978294091745015,-0.5629549045509882,0.0
2019-07-29,1.0,-0.0,-0.6865250064783622,-0.0,-0.341772479917077,-0.5630474216118165,0.0
2019-07-30,1.0,-0.0,-0.6876458084918866,-0.0,-0.34322670952356266,-0.5612784488568614,0.0
2019-07-31,1.0,-0.0,-0.6998340335044863,-0.0,-0.33745656345625225,-0.5559358954411078,0.0
