Date,IWF,IWM,KFRC,MTUM,SPY,VLUE,VXX
2019-01-14,-0.0,-1.2935085762097338,1.0,-0.0,-0.6072374843118115,-0.5855180588481383,0.0
2019-01-15,-0.0,-1.2914339569952527,1.0,-0.0,-0.6080005585032113,-0.5912105557106953,0.0
2019-01-16,-0.0,-1.2936894894476563,1.0,-0.0,-0.59068746952706,-0.5982099324371387,0.0
2019-01-17,-0.0,-1.2907596391626903,1.0,-0.0,-0.5932221099926858,-0.599003866114033,0.0
2019-01-18,-0.0,-1.280326948712552,1.0,-0.0,-0.6041184312074651,-0.6235880165579177,0.0
2019-01-22,-0.0,-1.5015556498373641,1.0,-0.0,-0.5318908216659596,-0.5021566963654363,0.0
2019-01-23,-0.0,-1.4616528048133073,1.0,-0.0,-0.539515130065475,-0.5380286674924791,0.0
2019-01-24,-0.0,-1.449043686922154,1.0,-0.0,-0.5513797727433128,-0.5283717975862798,0.0
2019-01-25,-0.0,-1.5041384499623778,1.0,-0.0,-0.5717510480490164,-0.5071840624888029,0.0
2019-01-28,-0.0,-1.4775375569180023,1.0,-0.0,-0.6060019361084221,-0.5018464737729017,0.0
2019-01-29,-0.0,-1.469640287769784,1.0,-0.0,-0.6152877697841727,-0.5122302158273381,0.0
2019-01-30,-0.0,-1.4630657036184096,1.0,-0.0,-0.5763634460378938,-0.44991102271537736,0.0
2019-01-31,-0.0,-1.4708036835496026,1.0,-0.0,-0.5470559508860053,-0.4703502162690107,0.0
2019-02-01,-0.0,-1.4703562829326169,1.0,-0.0,-0.5486268625466727,-0.47053076037268377,0.0
2019-02-04,-0.0,-1.4721727903974318,1.0,-0.0,-0.5474719983251335,-0.469625597543529,0.0
2019-02-05,-0.0,-1.460654936461388,1.0,-0.0,-0.5410208071498395,-0.4894567797793604,0.0
2019-02-06,-0.0,-1.446503350083752,1.0,-0.0,-0.5444932998324958,-0.4986390284757119,0.0
2019-02-07,-0.0,-1.440546225977823,1.0,-0.0,-0.5464042500089136,-0.5784932434841517,0.0
2019-02-08,-0.0,-1.4405804353264948,1.0,-0.0,-0.5643875763965832,-0.5691411415704636,0.0
2019-02-11,-0.0,-1.435194148650102,1.0,-0.0,-0.5786812950414112,-0.5715105231078125,0.0
2019-02-12,-0.0,-1.4400848737682517,1.0,-0.0,-0.587283320146731,-0.5690138818959937,0.0
2019-02-13,-0.0,-1.4497394429469903,1.0,-0.0,-0.5837556154537287,-0.5604312668463611,0.0
2019-02-14,-0.0,-1.4499676514988138,1.0,-0.0,-0.5901085471928689,-0.5542017108762849,0.0
2019-02-15,-0.0,-1.4914269316306765,1.0,-0.0,-0.564136595164646,-0.5314943683191047,0.0
2019-02-19,-0.0,-1.4820794317081047,1.0,-0.0,-0.5744986187349765,-0.5311591863093316,0.0
2019-02-20,-0.0,-1.476164874551971,1.0,-0.0,-0.5773835125448028,-0.5306810035842293,0.0
2019-02-21,-0.0,-1.4429815171626346,1.0,-0.0,-0.5776065082423464,-0.5475272960822094,0.0
2019-02-22,-0.0,-1.4352492334022677,1.0,-0.0,-0.5862868145190044,-0.5440347999714754,0.0
2019-02-25,-0.0,-1.4273179815922359,1.0,-0.0,-0.6000071625541669,-0.5539877520323747,0.0
2019-02-26,-0.0,-1.430285878054023,1.0,-0.0,-0.6006663323063696,-0.5514795443146808,0.0
2019-02-27,-0.0,-1.4308447725887963,1.0,-0.0,-0.6030608221927529,-0.5501953335005915,0.0
2019-02-28,-0.0,-1.4264289045961753,1.0,-0.0,-0.6019877291808691,-0.5595421764558143,0.0
2019-03-01,-0.0,-1.4283098136378325,1.0,-0.0,-0.5985493195446874,-0.5639340730367338,0.0
