Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2019-03-05,-0.0,-0.38303433854281316,-0.0,1.0,-0.3145498569227383,-1.0539016068677085,0.0
2019-03-06,-0.0,-0.3806013258878222,-0.0,1.0,-0.31686518306604683,-1.0533105933485543,0.0
2019-03-07,-0.0,-0.3737970855100357,-0.0,1.0,-0.31952158372284845,-1.05620016497113,0.0
2019-03-08,-0.0,-0.368230750267072,-0.0,1.0,-0.2960528117895198,-1.074889747171775,0.0
2019-03-11,-0.0,-0.36983476754735656,-0.0,1.0,-0.29986528468919255,-1.0796194979792704,0.0
2019-03-12,-0.0,-0.3590475928926482,-0.0,1.0,-0.3002773734655206,-1.0869195067695603,0.0
2019-03-13,-0.0,-0.362136296133326,-0.0,1.0,-0.3066387987459436,-1.0813211594521752,0.0
2019-03-14,-0.0,-0.36094218651110316,-0.0,1.0,-0.30959522302633385,-1.0811480146391128,0.0
2019-03-15,-0.0,-0.35793012234101174,-0.0,1.0,-0.3131268599140306,-1.0843712112862338,0.0
2019-03-18,-0.0,-0.3693741160810849,-0.0,1.0,-0.32237042788608194,-1.0813344055905272,0.0
2019-03-19,-0.0,-0.3730035060381769,-0.0,1.0,-0.3211364015804998,-1.0884022483165452,0.0
2019-03-20,-0.0,-0.3864753182935001,-0.0,1.0,-0.32186732186732187,-1.0837056064328792,0.0
2019-03-21,-0.0,-0.39196617336152223,-0.0,1.0,-0.3027202255109232,-1.124200140944327,0.0
2019-03-22,-0.0,-0.3936021059257775,-0.0,1.0,-0.3646170133623279,-1.1030930784857935,0.0
2019-03-25,-0.0,-0.42309579472970243,-0.0,1.0,-0.3613877103356712,-1.1017981354807054,0.0
2019-03-26,-0.0,-0.43166072412093803,-0.0,1.0,-0.3578282169464011,-1.1093138533785547,0.0
2019-03-27,-0.0,-0.43740726733191754,-0.0,1.0,-0.35635527885258783,-1.1154976289529572,0.0
2019-03-28,-0.0,-0.44261013120166826,-0.0,1.0,-0.350826889101283,-1.102847047238393,0.0
2019-03-29,-0.0,-0.4440624097081768,-0.0,1.0,-0.34770297601849176,-1.0976018491765385,0.0
2019-04-01,-0.0,-0.45192335481633483,-0.0,1.0,-0.346117164243808,-1.0920204618363631,0.0
2019-04-02,-0.0,-0.4576207642393655,-0.0,1.0,-0.351492429704398,-1.0748089401586158,0.0
2019-04-03,-0.0,-0.45767853015946375,-0.0,1.0,-0.3650335105153686,-1.0661543794776982,0.0
2019-04-04,-0.0,-0.453352937784697,-0.0,1.0,-0.35184224182667356,-1.0778123738684195,0.0
2019-04-05,-0.0,-0.4260876988304926,-0.0,1.0,-0.32911248328258824,-1.0903167060296504,0.0
2019-04-08,-0.0,-0.42196433142759626,-0.0,1.0,-0.3312284893477828,-1.0911909434820948,0.0
2019-04-09,-0.0,-0.41076673034701033,-0.0,1.0,-0.3558210487297197,-1.084770893330672,0.0
2019-04-10,-0.0,-0.4106735810348758,-0.0,1.0,-0.35810348757693183,-1.0805219968087532,0.0
2019-04-11,-0.0,-0.40098572690236745,-0.0,1.0,-0.381840973191647,-1.066094983048916,0.0
2019-04-12,-0.0,-0.4020553989808409,-0.0,1.0,-0.3773735303327924,-1.0674125316707945,0.0
