Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDAY
2019-11-14,-0.31026992236212236,-0.13117985437869584,-1.5151454201697574,-0.8788768655215415,-0.18725612454241924,0.0,1.0
2019-11-15,-0.36652861445783136,-0.14382530120481926,-1.3506400602409638,-0.7957078313253012,-0.10832078313253012,0.0,1.0
2019-11-18,-0.36999057492931203,-0.14235626767200754,-1.3526484448633365,-0.7981903864278982,-0.1068426013195099,0.0,1.0
2019-11-19,-0.3841428297177961,-0.2081397581109618,-1.3444423113841428,-0.7923977730850451,-0.11034747552313304,0.0,1.0
2019-11-20,-0.37488486337120047,-0.217262818544673,-1.3449109610070618,-0.7966303346638011,-0.10419864906355542,0.0,1.0
2019-11-21,-0.3930021868166198,-0.2097781943142768,-1.3864026866604189,-0.8001015307716339,-0.11574507966260544,0.0,1.0
2019-11-22,-0.40864072369960225,-0.2024487249473602,-1.3851672775481556,-0.7985650783747953,-0.10442174218201669,0.0,1.0
2019-11-25,-0.4045560747663552,-0.2026090342679128,-1.3804906542056077,-0.796183800623053,-0.11028037383177572,0.0,1.0
2019-11-26,-0.40362079034455906,-0.1989488028031925,-1.3820907144247616,-0.7976250729998052,-0.11099863733696709,0.0,1.0
2019-11-27,-0.40375257892483163,-0.19623185020826034,-1.380357351395539,-0.7987854723811748,-0.11358947409397019,0.0,1.0
2019-11-29,-0.42407146215326746,-0.19338661651778716,-1.4032675129290078,-0.8138222849083214,-0.08329415452123491,0.0,1.0
2019-12-02,-0.4269441488313429,-0.19632651452445707,-1.4207953963186315,-0.8138819912498523,-0.08355997004453905,0.0,1.0
2019-12-03,-0.41109356494275556,-0.19932885906040265,-1.4321358073430714,-0.8251875246742992,-0.08010264508487958,0.0,1.0
2019-12-04,-0.4269089181807386,-0.2316431144361319,-1.4345089656810355,-0.8035071052527412,-0.06186913668210427,0.0,1.0
2019-12-05,-0.42590346834829007,-0.21687282722936377,-1.486619775244563,-0.8110194841943569,-0.10190799579594147,0.0,1.0
2019-12-06,-0.4493647616324196,-0.2368969320642183,-1.489848441521304,-0.8229911352587932,-0.08603292618162506,0.0,1.0
2019-12-09,-0.4143888494762759,-0.19705379126152817,-1.5306514209406168,-0.9034344614614196,-0.12761340399782997,0.0,1.0
2019-12-10,-0.4232051567014892,-0.18372971771504779,-1.7206934874416537,-1.0250277839519892,-0.09282062680595687,0.0,1.0
2019-12-11,-0.4214266678511149,-0.18637292351425777,-1.7190636937016965,-1.0245180776405791,-0.09029936928133606,0.0,1.0
2019-12-12,-0.42912983609470085,-0.17683116421623063,-1.714964687069693,-1.025807311331231,-0.09514502731754987,0.0,1.0
2019-12-13,-0.4350858369098713,-0.1895118025751073,-1.7842900572246068,-1.009343705293276,-0.052396280400572245,0.0,1.0
2019-12-16,-0.4331694233348234,-0.19043361645060347,-1.7938310236924453,-1.0097898971837282,-0.043048725972284305,0.0,1.0
2019-12-17,-0.5149474450561952,-0.15097602038494792,-1.8280930063247942,-1.0281203075943033,-0.028120307594303135,0.0,1.0
2019-12-18,-0.5586148569280647,-0.15768453695437673,-1.8826763144293568,-1.054832495418879,-0.04473053610863131,0.0,1.0
2019-12-19,-0.5580825917031595,-0.1867966285256863,-1.8911804868860949,-1.026463248104723,-0.04619296510806611,0.0,1.0
2019-12-20,-0.5574544424511377,-0.2014446227929374,-1.898876404494382,-1.0275233688981211,-0.03573789066188273,0.0,1.0
2019-12-23,-0.5484849921760159,-0.19906112191189723,-1.9207169614490966,-1.0187301436767984,-0.05476788847266347,0.0,1.0
2019-12-24,-0.5455148871610089,-0.1980371704911815,-1.9240944433908593,-1.0180637208420253,-0.0554238573866869,0.0,1.0
2019-12-26,-0.5441915599810336,-0.19900426742532004,-1.9255097202465623,-1.0174964438122334,-0.05538169748696064,0.0,1.0
2019-12-27,-0.5316894716837705,-0.21170657544659827,-1.939709236031927,-1.0114500190041809,-0.05653743823641202,0.0,1.0
2019-12-30,-0.5615054787994284,-0.2110052405907575,-1.9593139590281086,-1.017436874702239,-0.01491186279180562,0.0,1.0
2019-12-31,-0.5563273073263558,-0.2105137963843958,-1.9647002854424358,-1.013130352045671,-0.012702188392007612,0.0,1.0
2020-01-02,-0.5560320182961692,-0.21388412426148273,-1.968696397941681,-1.0139127120259195,-0.012102153611587573,0.0,1.0
2020-01-03,-0.5522772844457176,-0.21235558101785543,-1.9745536140551896,-1.0180941468538145,-0.016948343359113913,0.0,1.0
2020-01-06,-0.5743547922862899,-0.22872493523937446,-1.9785570373213086,-1.00263839585532,-0.012760241773002015,0.0,1.0
2020-01-07,-0.5742313042644026,-0.22895380630306522,-1.978414160310836,-1.002110615436274,-0.01314337794406869,0.0,1.0
2020-01-08,-0.5713115938538607,-0.21795674582149221,-1.9919560714801792,-0.9983141467174029,-0.037185106690429175,0.0,1.0
2020-01-09,-0.5833131918596219,-0.2172378788611205,-1.9939575578865956,-1.0043988978585585,-0.03499782472083918,0.0,1.0
2020-01-10,-0.5916598052985906,-0.22163026105487482,-1.9916210587494554,-0.9981595389160653,-0.04024797791446699,0.0,1.0
2020-01-13,-0.5828990542366339,-0.21988998262883613,-1.9848484848484846,-0.9956572090330051,-0.04207681914688284,0.0,1.0
2020-01-14,-0.6173037642252699,-0.20751872385954673,-2.0070518432059137,-1.0043283727263885,-0.02713743799241319,0.0,1.0
2020-01-15,-0.6102415458937198,-0.20666666666666667,-1.992946859903382,-0.9935748792270531,-0.02748792270531401,0.0,1.0
2020-01-16,-0.6252045826513911,-0.19322229710214692,-1.9588427842495426,-0.9993742177722151,-0.037113699817079036,0.0,1.0
2020-01-17,-0.6390117285137473,-0.1980388386848683,-1.9425591232455297,-1.0012497596616037,-0.025860411459334744,0.0,1.0
