Date,EPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-23,1.0,-0.0,-0.11892432413128104,-1.5012678118638623,-0.9511446019785009,-0.0,0.0
2019-12-24,1.0,-0.0,-0.11737038632773229,-1.5227631767916128,-0.9502728708889847,-0.0,0.0
2019-12-26,1.0,-0.0,-0.11777586330677005,-1.5229377557613613,-0.9488836240936177,-0.0,0.0
2019-12-27,1.0,-0.0,-0.1270018353906503,-1.5338467628747254,-0.9379925864612948,-0.0,0.0
2019-12-30,1.0,-0.0,-0.12186990396811018,-1.560717521290089,-0.9412574741801053,-0.0,0.0
2019-12-31,1.0,-0.0,-0.12337403529113372,-1.5687162578354288,-0.9312293923692888,-0.0,0.0
2020-01-02,1.0,-0.0,-0.12627032520325204,-1.572045586527294,-0.9311483739837398,-0.0,0.0
2020-01-03,1.0,-0.0,-0.14630926625352939,-1.60588170584137,-0.9147079315023284,-0.0,0.0
2020-01-06,1.0,-0.0,-0.1723418523209895,-1.6543476641084869,-0.8987780344236644,-0.0,0.0
2020-01-07,1.0,-0.0,-0.17291550083939564,-1.6525648199962693,-0.9051669464652117,-0.0,0.0
2020-01-08,1.0,-0.0,-0.16375513251213136,-1.6609555804404625,-0.9080627099664053,-0.0,0.0
2020-01-09,1.0,-0.0,-0.1733816714008073,-1.6580580056809686,-0.906002391986844,-0.0,0.0
2020-01-10,1.0,-0.0,-0.16848088568562616,-1.6558680387858973,-0.8907753464353383,-0.0,0.0
2020-01-13,1.0,-0.0,-0.16856145043840096,-1.6628027938772476,-0.8838980532025561,-0.0,0.0
2020-01-14,1.0,-0.0,-0.15074150553782617,-1.7091421062511736,-0.8945372629998124,-0.0,0.0
2020-01-15,1.0,-0.0,-0.14815932407966204,-1.718240796620398,-0.9054390464695232,-0.0,0.0
2020-01-16,1.0,-0.0,-0.14616943047947775,-1.7043220529751633,-0.9013281308621596,-0.0,0.0
2020-01-17,1.0,-0.0,-0.1292410129802117,-1.7069539520442898,-0.9045374630606366,-0.0,0.0
2020-01-21,1.0,-0.0,-0.13364503459884047,-1.700467551898261,-0.9063025995885544,-0.0,0.0
2020-01-22,1.0,-0.0,-0.12030896759608138,-1.7373775433308212,-0.9102110022607385,-0.0,0.0
2020-01-23,1.0,-0.0,-0.11935337664299744,-1.7180465327088685,-0.9396056806164073,-0.0,0.0
2020-01-24,1.0,-0.0,-0.1180497768363719,-1.7247144262047054,-0.9396701717225207,-0.0,0.0
2020-01-27,1.0,-0.0,-0.11184012066365008,-1.7323906485671192,-0.9264705882352942,-0.0,0.0
2020-01-28,1.0,-0.0,-0.12947356486905257,-1.7733645742791277,-0.8763085295340312,-0.0,0.0
2020-01-29,1.0,-0.0,-0.12970569393676754,-1.7692655537551343,-0.8693522251950108,-0.0,0.0
2020-01-30,1.0,-0.0,-0.11758930594365985,-1.7657276640737105,-0.8928328676081867,-0.0,0.0
2020-01-31,1.0,-0.0,-0.1238606709277259,-1.7621496917665749,-0.895994856472902,-0.0,0.0
2020-02-03,1.0,-0.0,-0.11254605679407496,-1.741077077673155,-0.8681380029029737,-0.0,0.0
2020-02-04,1.0,-0.0,-0.11107408641563923,-1.7242770928209117,-0.8671553926468955,-0.0,0.0
2020-02-05,1.0,-0.0,-0.1086541287099618,-1.7223405818395534,-0.8421980605348223,-0.0,0.0
2020-02-06,1.0,-0.0,-0.10200043965706748,-1.7338242837253608,-0.827947534256613,-0.0,0.0
2020-02-07,1.0,-0.0,-0.1017483414580508,-1.7345966352673825,-0.8289044459920096,-0.0,0.0
2020-02-10,1.0,-0.0,-0.09478655634473164,-1.736325693783408,-0.8300139122794171,-0.0,0.0
2020-02-11,1.0,-0.0,-0.09580335293473101,-1.7284049819204501,-0.8282260126374229,-0.0,0.0
2020-02-12,1.0,-0.0,-0.08934645064550342,-1.7273525216691659,-0.8405441977837106,-0.0,0.0
2020-02-13,1.0,-0.0,-0.1004227947819174,-1.7120659126224118,-0.8011419072742385,-0.0,0.0
2020-02-14,1.0,-0.0,-0.10858959997109097,-1.714920680808008,-0.7901203338994689,-0.0,0.0
2020-02-18,1.0,-0.0,-0.1462686567164179,-1.7308955223880595,-0.8541791044776119,-0.0,0.0
2020-02-19,1.0,-0.0,-0.16085931359706576,-1.7330364160335343,-0.8487967364048056,-0.0,0.0
2020-02-20,1.0,-0.0,-0.1621275473688176,-1.7442272196481714,-0.8605115455607038,-0.0,0.0
2020-02-21,1.0,-0.0,-0.16933388560454873,-1.7460179990209739,-0.8501336747373575,-0.0,0.0
2020-02-24,1.0,-0.0,-0.17349170437405734,-1.751998491704374,-0.8452488687782805,-0.0,0.0
2020-02-25,1.0,-0.0,-0.2018408464994927,-1.6945934193361358,-0.7272793158428758,-0.0,0.0
2020-02-26,1.0,-0.0,-0.17189426106012876,-1.6147103136556633,-0.6375838926174496,-0.0,0.0
2020-02-27,1.0,-0.0,-0.19447696439639142,-1.6255423180221749,-0.6232697472625852,-0.0,0.0
