Date,IWF,IWM,MTUM,RUSHA,SPY,VLUE,VXX
2018-12-21,-0.0,-1.0180659260608267,-0.0,1.0,-0.7606629029320706,-0.8635949735931524,0.0
2018-12-24,-0.0,-0.9865227157452359,-0.0,1.0,-0.7475907542931672,-0.8888124048981958,0.0
2018-12-26,-0.0,-1.0059376012091115,-0.0,1.0,-0.7183058044550001,-0.8742667962143293,0.0
2018-12-27,-0.0,-0.9579159011335668,-0.0,1.0,-0.6304295074011163,-0.8781849065760737,0.0
2018-12-28,-0.0,-0.9585296563192905,-0.0,1.0,-0.6292267184035477,-0.8767669068736142,0.0
2018-12-31,-0.0,-0.9718672748163364,-0.0,1.0,-0.6319069670276105,-0.8779986769262909,0.0
2019-01-02,-0.0,-0.972233835005574,-0.0,1.0,-0.6292154403567446,-0.8823508918617614,0.0
2019-01-03,-0.0,-0.9746839863118931,-0.0,1.0,-0.6243452755080661,-0.8928346951602764,0.0
2019-01-04,-0.0,-0.9742072470326152,-0.0,1.0,-0.6146054509380765,-0.8919558634132757,0.0
2019-01-07,-0.0,-0.9503990682697906,-0.0,1.0,-0.6014798068030006,-0.8735655807899154,0.0
2019-01-08,-0.0,-0.9382711829647605,-0.0,1.0,-0.608777386608333,-0.8709368698089346,0.0
2019-01-09,-0.0,-0.9355147209508846,-0.0,1.0,-0.6082382676412323,-0.8717808593483163,0.0
2019-01-10,-0.0,-0.9355466748642279,-0.0,1.0,-0.6082931994398334,-0.8718106363356903,0.0
2019-01-11,-0.0,-0.9264947325215488,-0.0,1.0,-0.6123614721576138,-0.8815843480640307,0.0
2019-01-14,-0.0,-0.925605713699894,-0.0,1.0,-0.6135051088405153,-0.8781738030960599,0.0
2019-01-15,-0.0,-0.9162669590242567,-0.0,1.0,-0.6156297108400712,-0.8942030971632179,0.0
2019-01-16,-0.0,-0.9174654251677394,-0.0,1.0,-0.5969806928659455,-0.9088046008489662,0.0
2019-01-17,-0.0,-0.9191677218438793,-0.0,1.0,-0.5958386092193969,-0.9071900345641832,0.0
2019-01-18,-0.0,-0.9179758671662828,-0.0,1.0,-0.6052459692667331,-0.9145037643095328,0.0
2019-01-22,-0.0,-0.9774624373956595,-0.0,1.0,-0.49259181969949917,-1.0079646633277686,0.0
2019-01-23,-0.0,-0.9232478988678199,-0.0,1.0,-0.4909703410432729,-1.058727512676252,0.0
2019-01-24,-0.0,-0.9331917560228381,-0.0,1.0,-0.4830455368333102,-1.065171981618159,0.0
2019-01-25,-0.0,-0.9224754086759607,-0.0,1.0,-0.43645177269832286,-1.1794282074870852,0.0
2019-01-28,-0.0,-0.9205663293985384,-0.0,1.0,-0.42112844294547497,-1.1715500281056772,0.0
2019-01-29,-0.0,-0.9110241218789675,-0.0,1.0,-0.4317604739737622,-1.1837706305543803,0.0
2019-01-30,-0.0,-0.9088791643139469,-0.0,1.0,-0.4313946922642575,-1.188770468661773,0.0
2019-01-31,-0.0,-0.9205059355568117,-0.0,1.0,-0.3928773318258903,-1.2196862634256642,0.0
2019-02-01,-0.0,-0.8579970104633783,-0.0,1.0,-0.2716979931940337,-1.0506631046655854,0.0
2019-02-04,-0.0,-0.8615296585924088,-0.0,1.0,-0.2697247123148324,-1.0475872592027464,0.0
2019-02-05,-0.0,-0.8480470840021402,-0.0,1.0,-0.2645013061404337,-1.0347779561262707,0.0
2019-02-06,-0.0,-0.8512425290972004,-0.0,1.0,-0.2636363636363636,-1.0307643913180247,0.0
2019-02-07,-0.0,-0.8493663322745998,-0.0,1.0,-0.2721154753294129,-1.0232711720494356,0.0
2019-02-08,-0.0,-0.8557597434632462,-0.0,1.0,-0.24142821904292056,-0.9861864824864331,0.0
2019-02-11,-0.0,-0.8254178745451182,-0.0,1.0,-0.23582927280577315,-1.0226978350706224,0.0
2019-02-12,-0.0,-0.8370736771396293,-0.0,1.0,-0.2298250435101218,-0.9864736954596804,0.0
2019-02-13,-0.0,-0.8465584197168455,-0.0,1.0,-0.2304987310032719,-0.9807968687887961,0.0
2019-02-14,-0.0,-0.8373429194703045,-0.0,1.0,-0.2406366178142379,-0.994500261160783,0.0
2019-02-15,-0.0,-0.8932872718052738,-0.0,1.0,-0.2674949290060852,-1.0085889959432048,0.0
2019-02-19,-0.0,-0.8837444655281469,-0.0,1.0,-0.2733396584440228,-1.0054712207463632,0.0
2019-02-20,-0.0,-0.891298841112026,-0.0,1.0,-0.27613830663035904,-0.9989234374010512,0.0
2019-02-21,-0.0,-0.9118501673930896,-0.0,1.0,-0.2676710252037142,-0.9788705703998483,0.0
2019-02-22,-0.0,-0.9061148467342236,-0.0,1.0,-0.27625722132777725,-0.9745241026612368,0.0
2019-02-25,-0.0,-0.897357820281029,-0.0,1.0,-0.2872141339169601,-0.9873124623338725,0.0
2019-02-26,-0.0,-0.9025916280251541,-0.0,1.0,-0.29114527091405706,-0.9822778377691673,0.0
2019-02-27,-0.0,-0.8931147332634322,-0.0,1.0,-0.30982111651256633,-0.9743907476249484,0.0
2019-02-28,-0.0,-0.8936562420544114,-0.0,1.0,-0.3108949911009408,-0.9736842105263159,0.0
2019-03-01,-0.0,-0.9018694550063372,-0.0,1.0,-0.2954055766793409,-0.9713244613434727,0.0
2019-03-04,-0.0,-0.9004527752271791,-0.0,1.0,-0.3010163695659057,-0.9647911851312414,0.0
2019-03-05,-0.0,-0.8957467728123315,-0.0,1.0,-0.31180817659932125,-0.9641282628691045,0.0
2019-03-06,-0.0,-0.8915716096324462,-0.0,1.0,-0.31371989860583016,-0.9633079847908745,0.0
2019-03-07,-0.0,-0.8596396965865992,-0.0,1.0,-0.33915929203539824,-0.9617572692793932,0.0
2019-03-08,-0.0,-0.859936507936508,-0.0,1.0,-0.33784126984126983,-0.9767936507936509,0.0
2019-03-11,-0.0,-0.8577142125807896,-0.0,1.0,-0.34526780572086774,-0.9966084341204325,0.0
2019-03-12,-0.0,-0.8306745302781268,-0.0,1.0,-0.3617583550871765,-1.030390924618905,0.0
2019-03-13,-0.0,-0.8372807869022196,-0.0,1.0,-0.37119006018248885,-1.027146832330292,0.0
2019-03-14,-0.0,-0.8354655294953803,-0.0,1.0,-0.37319894036311946,-1.021935775667119,0.0
2019-03-15,-0.0,-0.8349338765480002,-0.0,1.0,-0.3741067675493905,-1.0243799915931062,0.0
2019-03-18,-0.0,-0.8446418692440366,-0.0,1.0,-0.38575938038985974,-1.0238211461485893,0.0
2019-03-19,-0.0,-0.8492304676012156,-0.0,1.0,-0.37993007221514224,-1.0384929582067117,0.0
2019-03-20,-0.0,-0.8551315060456931,-0.0,1.0,-0.3613727471238145,-1.0426294690871167,0.0
2019-03-21,-0.0,-0.8530205927323595,-0.0,1.0,-0.3747031458407886,-1.0255050587201926,0.0
2019-03-22,-0.0,-0.8514078169195166,-0.0,1.0,-0.3620789406016971,-1.0007071226536384,0.0
2019-03-25,-0.0,-0.7902543047200739,-0.0,1.0,-0.3900187784461631,-1.0025144021133707,0.0
2019-03-26,-0.0,-0.7967847915536984,-0.0,1.0,-0.39003540556920036,-1.0028388249178655,0.0
2019-03-27,-0.0,-0.8037466264486426,-0.0,1.0,-0.3803460866804254,-0.9910144467375774,0.0
2019-03-28,-0.0,-0.8017364755271443,-0.0,1.0,-0.3749642209712814,-1.0036574118245716,0.0
2019-03-29,-0.0,-0.800852037896611,-0.0,1.0,-0.37244865517899156,-1.0059451898009792,0.0
2019-04-01,-0.0,-0.8049120583108857,-0.0,1.0,-0.3718903501822215,-0.9922674694977024,0.0
2019-04-02,-0.0,-0.8152717150629469,-0.0,1.0,-0.3881191877016512,-0.9597646612260392,0.0
2019-04-03,-0.0,-0.8107333060221221,-0.0,1.0,-0.3958655027888949,-0.9446947972142564,0.0
2019-04-04,-0.0,-0.8062358703843255,-0.0,1.0,-0.37214267771916604,-0.9615360462195429,0.0
2019-04-05,-0.0,-0.7864989202891747,-0.0,1.0,-0.36168747848402344,-0.9814101962257065,0.0
2019-04-08,-0.0,-0.7747838074946736,-0.0,1.0,-0.37194510590299534,-0.9864958014788822,0.0
2019-04-09,-0.0,-0.7897674705483254,-0.0,1.0,-0.30756183309689755,-0.9866156787762906,0.0
2019-04-10,-0.0,-0.818453458891706,-0.0,1.0,-0.2723047205118918,-0.9274719304599783,0.0
2019-04-11,-0.0,-0.8098741703955072,-0.0,1.0,-0.29814709150424934,-0.8951019550136641,0.0
2019-04-12,-0.0,-0.8072433762414858,-0.0,1.0,-0.298436702973565,-0.8948600234044468,0.0
2019-04-15,-0.0,-0.8075999519750271,-0.0,1.0,-0.2978148637291391,-0.8961459959178772,0.0
2019-04-16,-0.0,-0.8040797960101995,-0.0,1.0,-0.29680515974201294,-0.8989650517474127,0.0
2019-04-17,-0.0,-0.8065551157490704,-0.0,1.0,-0.29285114549598174,-0.8992743192995082,0.0
2019-04-18,-0.0,-0.7996281636080125,-0.0,1.0,-0.2968993642797169,-0.902153052656831,0.0
2019-04-22,-0.0,-0.7930660562065123,-0.0,1.0,-0.30895508900870505,-0.9101478960209645,0.0
2019-04-23,-0.0,-0.7863463969658661,-0.0,1.0,-0.3031123954006381,-0.9206248871229907,0.0
2019-04-24,-0.0,-0.7933638168581916,-0.0,1.0,-0.29688346068226945,-0.9179953071415679,0.0
2019-04-25,-0.0,-0.803480564839069,-0.0,1.0,-0.29888898925119683,-0.9084695751663505,0.0
2019-04-26,-0.0,-0.7990445089501693,-0.0,1.0,-0.28885462022254477,-0.935806724721819,0.0
2019-04-29,-0.0,-0.7698661870942178,-0.0,1.0,-0.29953973237418846,-0.9787545340933338,0.0
2019-04-30,-0.0,-0.7819363854543245,-0.0,1.0,-0.29355652094662327,-0.9624206337151017,0.0
2019-05-01,-0.0,-0.7923467371812406,-0.0,1.0,-0.2941551928512811,-0.9529193641530652,0.0
2019-05-02,-0.0,-0.800798634396147,-0.0,1.0,-0.2895506919465951,-0.9578735597146864,0.0
2019-05-03,-0.0,-0.7882292235779761,-0.0,1.0,-0.2919929581739817,-0.9550476537364172,0.0
2019-05-06,-0.0,-0.7858120229878067,-0.0,1.0,-0.28716514124121995,-0.9677076048286557,0.0
