Date,IWF,IWM,MTUM,SBNY,SPY,VLUE,VXX
2019-07-30,-0.0,-0.5716517105142263,-0.0,1.0,-0.5900278705093258,-0.901013751493063,0.0
2019-07-31,-0.0,-0.5836895456765999,-0.0,1.0,-0.5804531021006352,-0.8891060087933562,0.0
2019-08-01,-0.0,-0.5946720312118996,-0.0,1.0,-0.5743721043647891,-0.8789929285540113,0.0
2019-08-02,-0.0,-0.5991998545190034,-0.0,1.0,-0.566739407164939,-0.8649451415408863,0.0
2019-08-05,-0.0,-0.5971288388151917,-0.0,1.0,-0.5626930765037254,-0.8688291235083895,0.0
2019-08-06,-0.0,-0.5972789927499478,-0.0,1.0,-0.522361786556076,-0.8639198018915774,0.0
2019-08-07,-0.0,-0.5991849846812815,-0.0,1.0,-0.5065885362443856,-0.8687646866355335,0.0
2019-08-08,-0.0,-0.6007554802058237,-0.0,1.0,-0.5057850748044377,-0.8677612206656554,0.0
2019-08-09,-0.0,-0.5847465151380626,-0.0,1.0,-0.4857793956613099,-0.889046731184705,0.0
2019-08-12,-0.0,-0.5804808717280587,-0.0,1.0,-0.5178550278337083,-0.8627265190098306,0.0
2019-08-13,-0.0,-0.5703979658210632,-0.0,1.0,-0.5155224410147241,-0.87073502454024,0.0
2019-08-14,-0.0,-0.5808873318220625,-0.0,1.0,-0.49609915506226626,-0.8670179880472222,0.0
2019-08-15,-0.0,-0.5983687449204691,-0.0,1.0,-0.48281667247184484,-0.8214327179844421,0.0
2019-08-16,-0.0,-0.6034682751420949,-0.0,1.0,-0.47537988632409234,-0.8210474422920775,0.0
2019-08-19,-0.0,-0.601106028142915,-0.0,1.0,-0.4752446580577914,-0.8190398980832706,0.0
2019-08-20,-0.0,-0.6100057670126874,-0.0,1.0,-0.4671280276816609,-0.8063725490196079,0.0
2019-08-21,-0.0,-0.611556195965418,-0.0,1.0,-0.46737752161383284,-0.8029106628242076,0.0
2019-08-22,-0.0,-0.6153868244213428,-0.0,1.0,-0.44994543679283217,-0.8064154844638448,0.0
2019-08-23,-0.0,-0.6160850208243572,-0.0,1.0,-0.4509837713629183,-0.805227631767916,0.0
