Date,DIOD,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-03,1.0,-0.0,-0.6616487085631799,-0.0,-0.0,-0.0,-0.34247564056297364,-0.6068464195494149,-0.0,-0.0,-0.16249935557044903,-0.0,-0.22147754807444447,-0.0,-0.18626591740990875,-0.2123008712687529,-1.000567098004846,-0.4929112749394236,-0.2684435737485178
2020-02-04,1.0,-0.0,-0.5999479979199168,-0.0,-0.0,-0.0,-0.31242849713988563,-0.5726989079563183,-0.0,-0.0,-0.2014040561622465,-0.0,-0.29526781071242847,-0.0,-0.25439417576703066,-0.19266770670826833,-0.9897555902236089,-0.47691107644305775,-0.3048361934477379
2020-02-05,1.0,-0.0,-0.6632245169886742,-0.0,-0.0,-0.0,-0.5031645569620253,-0.4950033311125916,-0.0,-0.0,-0.3017432822562736,-0.0,-0.22579391516766598,-0.0,-0.3171774372640462,-0.0,-1.32744836775483,-0.3961248056850988,-0.3221185876082612
2020-02-06,1.0,-0.0,-0.5576449912126538,-0.0,-0.0,-0.0,-0.6624487404803749,-0.5362038664323374,-0.0,-0.15987111892208553,-0.33415348564733455,-0.0,-0.18558875219683657,-0.0,-0.215875805506737,-0.0,-1.344522554188635,-0.3964850615114236,-0.465436438195665
2020-02-07,1.0,-0.0,-0.5558587956096114,-0.0,-0.0,-0.0,-0.6703648768911301,-0.5223375852862652,-0.0,-0.14719667754375554,-0.3412043903886087,-0.0,-0.18451498071788786,-0.0,-0.2830614061109463,-0.0,-1.3636902996143576,-0.4035004449718184,-0.46128745179471964
2020-02-10,1.0,-0.0,-0.6231394998493522,-0.0,-0.0,-0.0,-0.661464296474842,-0.5219041880084364,-0.0,-0.14130762277794517,-0.3233504067490208,-0.0,-0.22084965351009342,-0.0,-0.3583006929798132,-0.0,-1.3620367580596566,-0.3807170834588732,-0.4327809581199156
2020-02-11,1.0,-0.0,-0.6118433265268238,-0.0,-0.0,-0.0,-0.6821360064352454,-0.5505847410432523,-0.0,-0.1742466431532702,-0.3635294845615989,-0.0,-0.21681826619639874,-0.0,-0.41779592846977287,-0.0,-1.4301095229255614,-0.37856568281665737,-0.3621063053028897
2020-02-12,1.0,-0.0,-0.5803914395463692,-0.0,-0.0,-0.0,-0.6791659045180173,-0.6558746417901348,-0.0,-0.1732821169440888,-0.3202853484543626,-0.10584720443875374,-0.16285592341930372,-0.0,-0.5117980610938357,-0.0,-1.3215657581854765,-0.39369550637156275,-0.19254923480275593
2020-02-13,1.0,-0.0,-0.5664926671638081,-0.0,-0.0,-0.0,-0.6916480238627889,-0.667101665423813,-0.0,-0.11459110116828237,-0.38168033805617696,-0.0,-0.11552324136216753,-0.0,-0.37416107382550334,-0.0020507084265473526,-1.4048595575441212,-0.38199105145413864,-0.5141685309470544
2020-02-14,1.0,-0.0,-0.4780278002867294,-0.0,-0.0,-0.0,-0.6291217353362838,-0.686031290905691,-0.0,-0.1031602568098236,-0.37954247958611237,-0.0,-0.16892102474599516,-0.0,-0.3504332107461198,-0.018886741881194293,-1.3877080346568598,-0.47784080284236125,-0.5536371002929626
2020-02-18,1.0,-0.0,-0.6604029722777937,-0.0,-0.0,-0.0,-0.6684052586453272,-0.7171334667047728,-0.0,-0.1434695627322092,-0.4659902829379823,-0.0,-0.08059445555873107,-0.0,-0.553729637039154,-0.0,-1.5800228636753357,-0.49228350957416406,-0.7827950843098028
2020-02-19,1.0,-0.0,-0.7281497480201584,-0.0,-0.0,-0.0,-0.5517638588912888,-0.6483801295896329,-0.0,-0.2884809215262779,-0.4528437724982001,-0.0,-0.028293736501079917,-0.0,-0.6583153347732181,-0.0,-1.6077753779697623,-0.4730741540676746,-0.7622750179985601
2020-02-20,1.0,-0.0,-0.7143266886562455,-0.0,-0.0,-0.0,-0.557722644485874,-0.6377455901333716,-0.0,-0.29843682776423347,-0.4608489889574071,-0.0,-0.023089057794349634,-0.0,-0.654596300014341,-0.0,-1.5860461781155886,-0.4752617237917683,-0.7625125484009753
