Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-06,1.0,-0.0,-0.3130468773491295,-0.0,-0.8692606067895482,-0.8245782842709806,0.0
2019-09-09,1.0,-0.0,-0.29735928776218506,-0.0,-0.8762637694280973,-0.8443337860268599,0.0
2019-09-10,1.0,-0.0,-0.3033843552818283,-0.0,-0.8520061588624218,-0.8636596926606889,0.0
2019-09-11,1.0,-0.0,-0.31173930113859444,-0.0,-0.8373350246141765,-0.8711002385914047,0.0
2019-09-12,1.0,-0.0,-0.3185536204762911,-0.0,-0.8326944553439377,-0.8670429507108147,0.0
2019-09-13,1.0,-0.0,-0.31900766584173357,-0.0,-0.8264018832619061,-0.8726081970181686,0.0
2019-09-16,1.0,-0.0,-0.3162104246521595,-0.0,-0.829535508405517,-0.8723930824253764,0.0
2019-09-17,1.0,-0.0,-0.3289326606446935,-0.0,-0.8297936618229057,-0.8623304431890275,0.0
2019-09-18,1.0,-0.0,-0.33627516169981264,-0.0,-0.8217977392250498,-0.8643535029922023,0.0
2019-09-19,1.0,-0.0,-0.3420464160522181,-0.0,-0.8120089447600629,-0.8678532575849148,0.0
2019-09-20,1.0,-0.0,-0.34871763851923543,-0.0,-0.8139970965400436,-0.8617227195741592,0.0
2019-09-23,1.0,-0.0,-0.3528273359540369,-0.0,-0.8072270940429392,-0.8638342908980949,0.0
2019-09-24,1.0,-0.0,-0.3568663036902601,-0.0,-0.8088324258923171,-0.8591046581972172,0.0
2019-09-25,1.0,-0.0,-0.34541442476271084,-0.0,-0.8171210930415331,-0.8602563327489269,0.0
2019-09-26,1.0,-0.0,-0.3274357954023692,-0.01726407297437938,-0.8752334016957973,-0.8411031865070864,0.0
2019-09-27,1.0,-0.0,-0.32909613151622563,-0.022489763490802422,-0.8663448022978671,-0.8377436900323902,0.0
2019-09-30,1.0,-0.0,-0.29440441514640503,-0.041545301241759924,-0.8741070059788442,-0.8560171700137973,0.0
2019-10-01,1.0,-0.0,-0.28800613496932514,-0.04751533742331288,-0.8729447852760736,-0.8590184049079754,0.0
2019-10-02,1.0,-0.0,-0.28898135305902295,-0.0737247649869009,-0.8841423948220064,-0.8352904916011711,0.0
2019-10-03,1.0,-0.0,-0.3014152825960151,-0.06846160930832285,-0.8729929696374297,-0.8271574617014091,0.0
2019-10-04,1.0,-0.0,-0.3189578270632748,-0.08748346611707528,-0.8481958842166785,-0.8214340644129319,0.0
2019-10-07,1.0,-0.0,-0.3256213562442467,-0.08140533906106168,-0.8394599570420374,-0.8219392451672292,0.0
2019-10-08,1.0,-0.0,-0.32823025107164727,-0.09375382731169626,-0.8199632578077158,-0.8199020208205757,0.0
2019-10-09,1.0,-0.0,-0.33370964789162144,-0.08811863062183438,-0.8205284676878013,-0.8088118630621834,0.0
2019-10-10,1.0,-0.0,-0.3488537134746521,-0.11533833194483013,-0.7993150050911784,-0.8220556018389953,0.0
2019-10-11,1.0,-0.0,-0.35029475643810115,-0.14297238597579898,-0.7760781880235806,-0.8333540179956562,0.0
2019-10-14,1.0,-0.0,-0.33794970745674097,-0.16074318436449647,-0.7896489480891323,-0.8238204904767833,0.0
2019-10-15,1.0,-0.0,-0.3425378245439263,-0.17688811406512672,-0.7845713218355022,-0.8091339269036796,0.0
