Date,GPC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-03,1.0,-0.0,-0.27489032142537384,-0.0,-0.4618363327065987,-0.5016116035455278,0.0
2019-01-04,1.0,-0.0,-0.2743824887877368,-0.0,-0.45493897405002565,-0.5019746971015463,0.0
2019-01-07,1.0,-0.0,-0.256285607443743,-0.0,-0.4522997734321726,-0.49112426035502954,0.0
2019-01-08,1.0,-0.0,-0.2530051642676629,-0.0,-0.4542577738710032,-0.4902757938688056,0.0
2019-01-09,1.0,-0.0,-0.24952247129338925,-0.0,-0.45388280237995915,-0.4921070542516522,0.0
2019-01-10,1.0,-0.0,-0.25057117750439367,-0.0,-0.4535149384885765,-0.49275043936731105,0.0
2019-01-11,1.0,-0.0,-0.2506210565656122,-0.0,-0.4541077670543232,-0.49370149713104844,0.0
2019-01-14,1.0,-0.0,-0.25528870495520284,-0.0,-0.45955048759548284,-0.4864948158584102,0.0
2019-01-15,1.0,-0.0,-0.25634875225562254,-0.0,-0.4595968487302496,-0.48466176664759475,0.0
2019-01-16,1.0,-0.0,-0.2546274898206229,-0.0,-0.4659623638164411,-0.48035655331792676,0.0
2019-01-17,1.0,-0.0,-0.2530746045365542,-0.0,-0.4669218753437617,-0.4800783226629705,0.0
2019-01-18,1.0,-0.0,-0.253995307450529,-0.0,-0.46834742573819116,-0.4911461330736199,0.0
2019-01-22,1.0,-0.0,-0.1768782312176878,-0.0,-0.503090969090309,-0.520030799692003,0.0
2019-01-23,1.0,-0.0,-0.1556256340140255,-0.0,-0.5071230097472765,-0.5425175318660963,0.0
2019-01-24,1.0,-0.0,-0.1578634099025616,-0.0,-0.5033508222741502,-0.5432520611965963,0.0
2019-01-25,1.0,-0.0,-0.09798360292488367,-0.0,-0.5571460226013738,-0.5607134943496566,0.0
2019-01-28,1.0,-0.0,-0.09517253630590221,-0.0,-0.5646844606297464,-0.5606874805702358,0.0
2019-01-29,1.0,-0.0,-0.08894968637394902,-0.0,-0.5643489479069353,-0.5709995996263179,0.0
2019-01-30,1.0,-0.0,-0.08413482945943539,-0.0,-0.5595333511443583,-0.5827099474574762,0.0
2019-01-31,1.0,-0.0,-0.08005328005328005,-0.0,-0.5549339549339549,-0.5849927849927851,0.0
2019-02-01,1.0,-0.0,-0.0788017004694004,-0.0,-0.5478257018864583,-0.5875254627579488,0.0
2019-02-04,1.0,-0.0,-0.08255296539815367,-0.0,-0.5420070399149897,-0.589271877974807,0.0
2019-02-05,1.0,-0.0,-0.06697111345669172,-0.0,-0.5291127242961463,-0.5580208086508843,0.0
2019-02-06,1.0,-0.0,-0.07225750888147271,-0.0,-0.5317902895898374,-0.5490364947787706,0.0
2019-02-07,1.0,-0.0,-0.0704722545094494,-0.0,-0.5336217658960781,-0.548387791123165,0.0
2019-02-08,1.0,-0.0,-0.07613721905581246,-0.0,-0.5419507473921927,-0.5326809334337026,0.0
2019-02-11,1.0,-0.0,-0.06954198802188807,-0.0,-0.544616312637339,-0.5401568357102848,0.0
2019-02-12,1.0,-0.0,-0.0712063008348177,-0.0,-0.5354207352404661,-0.5394338691332059,0.0
2019-02-13,1.0,-0.0,-0.07510858813916485,-0.0,-0.5353502773835634,-0.5398013159592311,0.0
2019-02-14,1.0,-0.0,-0.06443898655635988,-0.0,-0.5460617028610824,-0.5439503619441571,0.0
2019-02-15,1.0,-0.0,-0.08123249299719887,-0.0,-0.5371902607196725,-0.5362852833441069,0.0
2019-02-19,1.0,-0.0,-0.0827595138903879,-0.0,-0.5380015973406437,-0.5378073261812766,0.0
2019-02-20,1.0,-0.0,-0.08007436712281384,-0.0,-0.537453790777612,-0.5442851892686512,0.0
2019-02-21,1.0,-0.0,-0.09003347370694309,-0.0,-0.5348666450707267,-0.5346938775510204,0.0
2019-02-22,1.0,-0.0,-0.08492949534647692,-0.0,-0.5457686410848863,-0.5287093221619987,0.0
2019-02-25,1.0,-0.0,-0.0848126658182524,-0.0,-0.544336834839628,-0.5278358965509804,0.0
2019-02-26,1.0,-0.0,-0.08964057369967168,-0.0,-0.5465266977708658,-0.5238465526179368,0.0
2019-02-27,1.0,-0.0,-0.0881647988598821,-0.0,-0.5456371056552439,-0.5254907041523612,0.0
2019-02-28,1.0,-0.0,-0.08754607972061137,-0.0,-0.5435790199840472,-0.5246297454028068,0.0
2019-03-01,1.0,-0.0,-0.08745796326636199,-0.0,-0.5437182029835302,-0.5245322066051565,0.0
2019-03-04,1.0,-0.0,-0.08472129452069552,-0.0,-0.5440520566245071,-0.5258882592488849,0.0
2019-03-05,1.0,-0.0,-0.08184154268068843,-0.0,-0.5499362974799715,-0.5276296184327021,0.0
2019-03-06,1.0,-0.0,-0.08159519799628621,-0.0,-0.5504599041326597,-0.5271408213499158,0.0
2019-03-07,1.0,-0.0,-0.075673927108044,-0.0,-0.5573646754367048,-0.5235065775285745,0.0
2019-03-08,1.0,-0.0,-0.06673122444587906,-0.0,-0.5598880998493653,-0.5253066494512588,0.0
2019-03-11,1.0,-0.0,-0.06652820146686571,-0.0,-0.5634019168776097,-0.5336102637329352,0.0
2019-03-12,1.0,-0.0,-0.05338742217497885,-0.0,-0.5695598412044168,-0.5463913052910168,0.0
2019-03-13,1.0,-0.0,-0.0626811041634894,-0.0,-0.5729318721540774,-0.5430837273143205,0.0
2019-03-14,1.0,-0.0,-0.06312075274438056,-0.0,-0.5728785502700818,-0.542080501829587,0.0
2019-03-15,1.0,-0.0,-0.061807796284991716,-0.0,-0.5739513386238773,-0.5444100462195867,0.0
2019-03-18,1.0,-0.0,-0.06240117827979813,-0.0,-0.5684117048235829,-0.5351642877255302,0.0
