Date,IWF,IWM,KKR,MTUM,SPY,VLUE,VXX
2019-12-04,-0.0,-0.3599439775910364,1.0,-0.615579565159397,-0.7789115646258504,-0.5802320928371348,0.0
2019-12-05,-0.0,-0.3491450263714852,1.0,-0.6391977693418887,-0.7615480229784661,-0.609500453522357,0.0
2019-12-06,-0.0,-0.3903694422809928,1.0,-0.6487419999322745,-0.7786393958890657,-0.5684873522738817,0.0
2019-12-09,-0.0,-0.34905303681297906,1.0,-0.6903378819647337,-0.8040422094661945,-0.5938198192004949,0.0
2019-12-10,-0.0,-0.34173131298484744,1.0,-0.8190023925179438,-0.8977017327629957,-0.5665917494381207,0.0
2019-12-11,-0.0,-0.33923710666715057,1.0,-0.8230319747395928,-0.8975429172866838,-0.5695568540630784,0.0
2019-12-12,-0.0,-0.34604786076867294,1.0,-0.8224075416968818,-0.8926758520667151,-0.5646845540246556,0.0
2019-12-13,-0.0,-0.35097654831917524,1.0,-0.8544979307340449,-0.8792928192841066,-0.5455238510128512,0.0
2019-12-16,-0.0,-0.35149359369895833,1.0,-0.8501687779027985,-0.8778628724910167,-0.5501070741533883,0.0
2019-12-17,-0.0,-0.3436962173642389,1.0,-0.874070819143872,-0.8956754183602476,-0.5483540224834303,0.0
2019-12-18,-0.0,-0.34345768270413296,1.0,-0.9050795662057913,-0.9193157678977378,-0.5589386203555323,0.0
2019-12-19,-0.0,-0.33648266626990025,1.0,-0.9006100282696027,-0.9249739622080047,-0.5576179140008927,0.0
2019-12-20,-0.0,-0.34243971525474265,1.0,-0.9072341694308822,-0.9241548954567479,-0.5532033841452052,0.0
2019-12-23,-0.0,-0.35459354742567617,1.0,-0.89743685269354,-0.9375232844050368,-0.5359138663288876,0.0
2019-12-24,-0.0,-0.3577338799850913,1.0,-0.9047707789787551,-0.9298546403279911,-0.5348117778606039,0.0
2019-12-26,-0.0,-0.35103848730737736,1.0,-0.9032978485818507,-0.9193032085163403,-0.5485744063128117,0.0
2019-12-27,-0.0,-0.35696702968819927,1.0,-0.911009995524392,-0.9160450544532298,-0.5456512009547964,0.0
2019-12-30,-0.0,-0.3589762777819352,1.0,-0.9233705006360847,-0.9251290877796902,-0.5341989074309661,0.0
2019-12-31,-0.0,-0.3294040123004832,1.0,-0.9140430516913165,-0.8798140284082588,-0.5376336213208376,0.0
2020-01-02,-0.0,-0.32984216501263414,1.0,-0.9146372724942323,-0.8802504852235691,-0.5372981286849525,0.0
2020-01-03,-0.0,-0.3235639782576759,1.0,-0.9172542970471572,-0.880894667254297,-0.5510136624063463,0.0
