Date,IWF,IWM,MTUM,NXJ,SPY,VLUE,VXX
2019-02-28,-0.0,-0.048565513161786464,-0.0,1.0,-0.10525879917184265,-0.02924578527062999,0.0
2019-03-01,-0.0,-0.048819437872622315,-0.0,1.0,-0.10791851992050724,-0.02619002555124444,0.0
2019-03-04,-0.0,-0.0496096522356281,-0.0,1.0,-0.10587887390584338,-0.027383487106695054,0.0
2019-03-05,-0.0,-0.04662211795929007,-0.0,1.0,-0.11068458093410109,-0.027499348356674013,0.0
2019-03-06,-0.0,-0.0467920773313116,-0.0,1.0,-0.110618840030326,-0.0271986353297953,0.0
2019-03-07,-0.0,-0.0434304367881347,-0.0,1.0,-0.1152349525127441,-0.02406888313285787,0.0
2019-03-08,-0.0,-0.041715850606733086,-0.0,1.0,-0.1181949100524104,-0.020503800934888333,0.0
2019-03-11,-0.0,-0.04210376923349852,-0.0,1.0,-0.11759488131704375,-0.022991496457843007,0.0
2019-03-12,-0.0,-0.037593806120143194,-0.0,1.0,-0.12091623752720526,-0.030779111116396893,0.0
2019-03-13,-0.0,-0.040035799522673034,-0.0,1.0,-0.12189737470167065,-0.03138424821002387,0.0
2019-03-14,-0.0,-0.04007396802672394,-0.0,1.0,-0.1222381293247435,-0.030732522071104752,0.0
2019-03-15,-0.0,-0.03919367551171511,-0.0,1.0,-0.12275191669254103,-0.032255367933315814,0.0
2019-03-18,-0.0,-0.04220635015905408,-0.0,1.0,-0.12400216073464979,-0.03419962787347699,0.0
2019-03-19,-0.0,-0.04083594717044622,-0.0,1.0,-0.12626936342550865,-0.03465887923471656,0.0
2019-03-20,-0.0,-0.03679348677000157,-0.0,1.0,-0.12821717189965193,-0.0393587937035565,0.0
2019-03-21,-0.0,-0.037305075561442594,-0.0,1.0,-0.13780480462399902,-0.029056535613221746,0.0
2019-03-22,-0.0,-0.03607461711548232,-0.0,1.0,-0.14493963368899856,-0.028719363189857492,0.0
2019-03-25,-0.0,-0.024547788047866375,-0.0,1.0,-0.15109482893674453,-0.029452525276870607,0.0
2019-03-26,-0.0,-0.026999299973447268,-0.0,1.0,-0.150952277500181,-0.028990754821734615,0.0
2019-03-27,-0.0,-0.026084854345461136,-0.0,1.0,-0.15184334582376405,-0.03082315967605463,0.0
2019-03-28,-0.0,-0.02549835494484227,-0.0,1.0,-0.14978469131023806,-0.03430423843622992,0.0
2019-03-29,-0.0,-0.024574303405572758,-0.0,1.0,-0.14988873839009287,-0.03490228328173375,0.0
2019-04-01,-0.0,-0.024905906984061674,-0.0,1.0,-0.14959276784741804,-0.03570088707627888,0.0
2019-04-02,-0.0,-0.02791896601800755,-0.0,1.0,-0.15456481750411463,-0.027701132733081613,0.0
2019-04-03,-0.0,-0.02750084692445434,-0.0,1.0,-0.15418864637274354,-0.02820258432947781,0.0
2019-04-04,-0.0,-0.027680991095625246,-0.0,1.0,-0.1540239063104917,-0.028140727835849786,0.0
2019-04-05,-0.0,-0.027697445639679102,-0.0,1.0,-0.1550040535798555,-0.02731023801168883,0.0
2019-04-08,-0.0,-0.02722874077658159,-0.0,1.0,-0.15397363009556064,-0.028426273134147816,0.0
2019-04-09,-0.0,-0.028608503723107522,-0.0,1.0,-0.1569405030439739,-0.027189599553712192,0.0
2019-04-10,-0.0,-0.024313972655871232,-0.0,1.0,-0.15495006302724718,-0.032798409774071564,0.0
2019-04-11,-0.0,-0.026683485348340773,-0.0,1.0,-0.1529448864738987,-0.03326945468659034,0.0
2019-04-12,-0.0,-0.02764608165294467,-0.0,1.0,-0.1521504528864692,-0.03275090637921208,0.0
2019-04-15,-0.0,-0.02888967082034047,-0.0,1.0,-0.14858585000667338,-0.035866386789133314,0.0
2019-04-16,-0.0,-0.03008340313945442,-0.0,1.0,-0.14791613553313665,-0.036019958480533194,0.0
2019-04-17,-0.0,-0.026529520474661998,-0.0,1.0,-0.16044159128489446,-0.028863923742826574,0.0
2019-04-18,-0.0,-0.028519631580868485,-0.0,1.0,-0.15732032267091703,-0.030867877696528732,0.0
2019-04-22,-0.0,-0.028466326418748553,-0.0,1.0,-0.15787422195695336,-0.031730757518545136,0.0
2019-04-23,-0.0,-0.031721870433511934,-0.0,1.0,-0.1587554797856795,-0.02724062347783731,0.0
2019-04-24,-0.0,-0.03313961280261218,-0.0,1.0,-0.15866807997368326,-0.026548241285622037,0.0
2019-04-25,-0.0,-0.034113214908377126,-0.0,1.0,-0.1616659148266907,-0.023420831250533403,0.0
2019-04-26,-0.0,-0.030081241308643786,-0.003866891117128986,1.0,-0.16758154626851107,-0.018297592036887945,0.0
2019-04-29,-0.0,-0.03008316464648928,-0.004255786161988147,1.0,-0.1670853352193742,-0.017998683023193424,0.0
2019-04-30,-0.0,-0.03046007145557195,-0.0038776231876989113,1.0,-0.1671889670645905,-0.017851699203745932,0.0
2019-05-01,-0.0,-0.029189690294092532,-0.0068918407923787214,1.0,-0.16184237811200156,-0.021870921311035484,0.0
2019-05-02,-0.0,-0.028394896230668928,-0.006922017621896974,1.0,-0.15973043128556977,-0.023605542488757812,0.0
2019-05-03,-0.0,-0.030139856732128066,-0.0060304078748599,1.0,-0.15886165391550117,-0.023232298620924907,0.0
2019-05-06,-0.0,-0.03205924626665692,-0.005627420887232332,1.0,-0.15905381373480473,-0.021303807644522398,0.0
2019-05-07,-0.0,-0.03063574657876458,-0.005057213536271798,1.0,-0.16078283228330145,-0.022117692935742922,0.0
2019-05-08,-0.0,-0.029713628634689956,-0.008061457912828605,1.0,-0.15637271092517155,-0.029138683988403243,0.0
2019-05-09,-0.0,-0.029080503344624753,-0.008254558350555807,1.0,-0.1567265478825529,-0.02884815281327578,0.0
2019-05-10,-0.0,-0.0284805869764598,-0.007973096912259248,1.0,-0.15801895444818098,-0.02838275756649343,0.0
2019-05-13,-0.0,-0.02879325100868077,-0.00688348208827485,1.0,-0.15802665362513757,-0.028939968211272774,0.0
2019-05-14,-0.0,-0.011539304233512671,-0.024928792268179272,1.0,-0.14986488789346836,-0.03089320057453076,0.0
2019-05-15,-0.0,-0.012425689503946983,-0.025082837930026313,1.0,-0.15104521976415552,-0.02963892408147354,0.0
2019-05-16,-0.0,-0.012642487046632124,-0.026504114599207557,1.0,-0.15081987199024688,-0.029174032307223405,0.0
2019-05-17,-0.0,-0.00959203348669197,-0.030155107818849686,1.0,-0.14739514052451094,-0.03320600905507487,0.0
2019-05-20,-0.0,-0.008820838162630391,-0.03161105349844446,1.0,-0.14630635027145733,-0.033294698956871836,0.0
2019-05-21,-0.0,-0.010362946978286578,-0.03314923862818965,1.0,-0.14286236787242604,-0.03279567926069517,0.0
2019-05-22,-0.0,-0.008775671887378877,-0.03488329575233104,1.0,-0.1427996831007374,-0.03238466695106344,0.0
2019-05-23,-0.0,-0.00755922408222485,-0.03215108694326924,1.0,-0.14433241078286738,-0.035186968873066,0.0
2019-05-24,-0.0,-0.006915865091927432,-0.0326190186290028,1.0,-0.14407646414221356,-0.03395835869962255,0.0
2019-05-28,-0.0,-0.006026956934653177,-0.03266732415287772,1.0,-0.14437910167902498,-0.03449367473913626,0.0
2019-05-29,-0.0,-0.008035204162260069,-0.03330780545324143,1.0,-0.14398939985169518,-0.030280928242344678,0.0
2019-05-30,-0.0,-0.00783480109322806,-0.03421803826298208,1.0,-0.14287276040085028,-0.02978439113270574,0.0
2019-05-31,-0.0,-0.007895631893494,-0.033283125212574705,1.0,-0.14253437636655167,-0.03099946552645644,0.0
2019-06-03,-0.0,-0.008918941845106094,-0.035554586105355,1.0,-0.14141854800596212,-0.025932792864846524,0.0
2019-06-04,-0.0,-0.006047678491352668,-0.033886390905455026,1.0,-0.14184775363284896,-0.030177794475888062,0.0
2019-06-05,-0.0,-0.0037416115483029978,-0.03795925264326751,1.0,-0.14245884227296865,-0.022811760729976344,0.0
2019-06-06,-0.0,-0.007551904262121048,-0.0363963181450786,1.0,-0.13814194202164237,-0.024296382082926185,0.0
2019-06-07,-0.0,-0.009622466104048197,-0.03626836659543386,1.0,-0.13697224335059824,-0.024472696101512793,0.0
2019-06-10,-0.0,-0.009561175831472203,-0.035673326492424696,1.0,-0.1373694694271745,-0.02461519888935836,0.0
2019-06-11,-0.0,-0.009446823912650058,-0.03594136454123183,1.0,-0.13685226518670449,-0.02425046751523195,0.0
2019-06-12,-0.0,-0.010159756745016651,-0.03668130701288672,1.0,-0.1365172064288817,-0.02325160480718181,0.0
2019-06-13,-0.0,-0.012586061118492572,-0.038567459838144705,1.0,-0.13533035390747675,-0.021391472400048316,0.0
2019-06-14,-0.0,-0.012027678150925624,-0.03870352256397252,1.0,-0.13570988660652827,-0.021157120602833028,0.0
2019-06-17,-0.0,-0.012850086351614111,-0.0384657190130554,1.0,-0.13346457168391684,-0.02293450562191278,0.0
2019-06-18,-0.0,-0.017832978929054707,-0.03784071138604292,1.0,-0.13250289967137058,-0.020019814421032286,0.0
2019-06-19,-0.0,-0.016581262689741853,-0.038552644300493086,1.0,-0.13231170840181766,-0.02110122788359277,0.0
2019-06-20,-0.0,-0.018398451675335672,-0.037099310511672916,1.0,-0.13268416596104995,-0.021446715858231522,0.0
