Date,IWF,IWM,MTUM,ROST,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-16,-0.0,-0.1564093845630738,-0.0,1.0,-0.14189051343080586,-0.0,-0.7095545732743965,-0.05158109486569194,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5873512410744646,-0.0,-0.3278476708602517,-0.0,-0.4256035362121728
2019-01-17,-0.0,-0.14583970893263964,-0.0,1.0,-0.1364888299500153,-0.0,-0.7142371382909992,-0.049134618654153486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5986942772620626,-0.0,-0.32201026896528273,-0.0,-0.43388078479377057
2019-01-18,-0.0,-0.141344914161634,-0.0,1.0,-0.130250390174391,-0.0,-0.711983443034539,-0.04658342946325575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.602191762231119,-0.0,-0.32079120580850917,-0.0,-0.4396756463323608
2019-01-22,-0.0,-0.1437622823067019,-0.0,1.0,-0.12251812699058073,-0.0,-0.7146100155858236,-0.04255607508301145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6020193806329199,-0.0,-0.32150843667412077,-0.0,-0.44128210340855184
2019-01-23,-0.0,-0.14273628642008732,-0.0,1.0,-0.11840546851206389,-0.0,-0.7218368244729451,-0.03698690399648066,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5974078711380326,-0.0,-0.3239145883388041,-0.0,-0.44269229467699905
2019-01-24,-0.0,-0.14679673259974346,-0.0,1.0,-0.14325254843718355,-0.0,-0.7084992911631675,-0.05056369405252143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5679470735165058,-0.0,-0.32400594072773914,-0.0,-0.43431445352055625
2019-01-25,-0.0,-0.14720178221832175,-0.0,1.0,-0.14294876122324984,-0.0,-0.7070816174981435,-0.05204887598730844,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5665631539863633,-0.0,-0.3253223519881185,-0.0,-0.4341794369810301
2019-01-28,-0.0,-0.1545835020926151,-0.0,1.0,-0.14061023356284597,-0.0,-0.7190157958687728,-0.05585932226272445,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.563520993654651,-0.0,-0.31277845281490485,-0.0,-0.4288510868097746
2019-01-29,-0.0,-0.15363553392150897,-0.0,1.0,-0.1434607713889734,-0.0,-0.7194334584051651,-0.05888517053713282,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5524118581617822,-0.0,-0.3212993949227597,-0.0,-0.4312273941114829
2019-01-30,-0.0,-0.1542932450241611,-0.0,1.0,-0.14043861724056364,-0.0,-0.717061467238874,-0.05829081201635522,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5526982732402933,-0.0,-0.3223059507315919,-0.0,-0.4340891427026661
2019-01-31,-0.0,-0.14880992515676622,-0.0,1.0,-0.1788483581687007,-0.0,-0.705582900681006,-0.07234845930820578,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5507046052187985,-0.0,-0.30925089339896167,-0.0,-0.4057716944238419
2019-02-01,-0.0,-0.10950150552024089,-0.0,1.0,-0.22840414854466376,-0.0,-0.7809300769488122,-0.08022750083640014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.49106724657075945,-0.0,-0.2646035463365674,-0.0,-0.3908665105386417
