Date,IWF,IWM,MTUM,SPY,UIS,VLUE,VXX
2019-11-25,-0.0,-0.6834563083114824,-1.2062320873223977,-1.7321178120617113,1.0,-1.4761265930849443,0.0
2019-11-26,-0.0,-0.6833161376464162,-1.1989439825210901,-1.7092310493415064,1.0,-1.477514110578382,0.0
2019-11-27,-0.0,-0.665110922536065,-1.203418596193478,-1.7151775972845194,1.0,-1.4775730391562614,0.0
2019-11-29,-0.0,-0.6649528706083976,-1.2619047619047619,-1.7485616354510956,1.0,-1.445342147141633,0.0
2019-12-02,-0.0,-0.6862574552683897,-1.3349279324055667,-1.7493166003976144,1.0,-1.4422216699801194,0.0
2019-12-03,-0.0,-0.677620992697116,-1.3122292362916201,-1.752011387547964,1.0,-1.4470231464290133,0.0
2019-12-04,-0.0,-0.716271565098672,-1.3047039841131935,-1.7430805510736007,1.0,-1.441727690207273,0.0
2019-12-05,-0.0,-0.6994484141907986,-1.3528895574777486,-1.7241444151936818,1.0,-1.491538172245205,0.0
2019-12-06,-0.030586290220017805,-0.747488236042223,-1.378227139768536,-1.7457077451354444,1.0,-1.456950273432532,0.0
2019-12-09,-0.0,-0.6672249420252513,-1.4432491625869621,-1.8240788456583354,1.0,-1.5070213862406596,0.0
2019-12-10,-0.09003282810644689,-0.6571907522525668,-1.755255989383251,-2.018998393518195,1.0,-1.4632255360759938,0.0
2019-12-11,-0.09793489674483724,-0.6443122156107804,-1.7664683234161709,-2.0200910045502276,1.0,-1.4716135806790338,0.0
2019-12-12,-0.10128977989625683,-0.6366886303098275,-1.7687508762091686,-2.025304920790691,1.0,-1.4776391420159818,0.0
2019-12-13,-0.09495319208840712,-0.6337016963468712,-1.7955233335679592,-2.0344900401210673,1.0,-1.48011543605265,0.0
2019-12-16,-0.1000775248431884,-0.6296426809500318,-1.80301642117133,-2.039890055676933,1.0,-1.47508633448446,0.0
2019-12-17,-0.23147479416437963,-0.5707785642062689,-1.8840820453560594,-2.0808175646396068,1.0,-1.4552217246858299,0.0
2019-12-18,-0.36422996097268084,-0.6065746022215551,-1.9488141699189434,-2.099669768838187,1.0,-1.4859651756229362,0.0
2019-12-19,-0.36099178536438314,-0.6353907604190218,-1.9654834576833218,-2.0867435375687693,1.0,-1.487678046574723,0.0
2019-12-20,-0.36157245162273355,-0.6544263294225203,-1.9960383970745088,-2.1152674081974707,1.0,-1.4911625780892885,0.0
2019-12-23,-0.3679396295449348,-0.675356353380593,-1.9867367939629543,-2.1206646848082933,1.0,-1.4718347435017913,0.0
2019-12-24,-0.36974918045284744,-0.6773652512007318,-1.9858961652816953,-2.120225661355493,1.0,-1.4704581840359836,0.0
2019-12-26,-0.38253195374315274,-0.6858642726719415,-1.9761868533171028,-2.1154138770541695,1.0,-1.4481132075471699,0.0
2019-12-27,-0.37612440920872087,-0.7099405397164202,-1.9964933678914472,-2.100472633023327,1.0,-1.440158560756213,0.0
2019-12-30,-0.406568950963088,-0.7046274269050724,-2.03660501880132,-2.119330826490676,1.0,-1.4067991712071215,0.0
2019-12-31,-0.3904608542289702,-0.7142090330496128,-2.043018173452956,-2.117629016179741,1.0,-1.4028065332413158,0.0
2020-01-02,-0.3877362840018441,-0.7190717688642999,-2.0505609343783617,-2.1214077147687105,1.0,-1.405179037959121,0.0
2020-01-03,-0.36172506738544474,-0.7175202156334233,-2.064304967269927,-2.122140931844436,1.0,-1.4355795148247978,0.0
2020-01-06,-0.39236084154956913,-0.7406257278161633,-2.0842325906373724,-2.113733405791476,1.0,-1.4324198431798774,0.0
2020-01-07,-0.38291262135922327,-0.7395728155339806,-2.09273786407767,-2.1116893203883493,1.0,-1.4400776699029125,0.0
2020-01-08,-0.3807823657249301,-0.7333126358273827,-2.0963986339646072,-2.1092828314188137,1.0,-1.4417106488668114,0.0
2020-01-09,-0.3934566366179671,-0.7488343176872864,-2.085172520982282,-2.0990829965806657,1.0,-1.4445912340690086,0.0
2020-01-10,-0.4115126966817262,-0.7508178844056708,-2.0902009658825365,-2.0940177597756664,1.0,-1.4427480916030535,0.0
2020-01-13,-0.41617956511573534,-0.751461304652794,-2.0934455615306677,-2.0925103265528797,1.0,-1.4401059932974827,0.0
2020-01-14,-0.47721538946704506,-0.7354146956795963,-2.1455376852727843,-2.1128192999053925,1.0,-1.4129612109744558,0.0
2020-01-15,-0.4841364031964554,-0.746894532795316,-2.1540469973890337,-2.1106100166152384,1.0,-1.4163304058865416,0.0
2020-01-16,-0.47807537331121125,-0.7409338705854469,-2.147191277553923,-2.106186300071107,1.0,-1.4283795528166234,0.0
2020-01-17,-0.4831664432705196,-0.7280611842623985,-2.137822281794528,-2.106599385003548,1.0,-1.428841756682173,0.0
2020-01-21,-0.4947608918301426,-0.7328448751280234,-2.1208540140234775,-2.1074608051682033,1.0,-1.42243756401166,0.0
2020-01-22,-0.4968062455642299,-0.7249428278526929,-2.135005125778724,-2.1096128065609965,1.0,-1.4193675577635834,0.0
2020-01-23,-0.5296843787455053,-0.7328006392329204,-2.143188174190971,-2.1618857371154614,1.0,-1.4227726727926486,0.0
