Date,IWF,IWM,MTUM,RHI,SPY,VLUE,VXX
2018-12-27,-0.2209215585011763,-0.638434612956906,-0.12196591495954552,1.0,-0.4330923279967866,-0.454696734951512,0.0
2018-12-28,-0.2188575361321404,-0.6414888735948613,-0.12087061252580868,1.0,-0.4330981876577197,-0.4533149805001147,0.0
2018-12-31,-0.21807961454628885,-0.6426236090398073,-0.12122863370425606,1.0,-0.43297579442468737,-0.4530515085465183,0.0
2019-01-02,-0.21793107402947418,-0.6426974023739893,-0.12030506336372498,1.0,-0.432822982969207,-0.453380354378118,0.0
2019-01-03,-0.2204264099037139,-0.6372650160476846,-0.13620472260430996,1.0,-0.436984181568088,-0.43477762494268685,0.0
2019-01-04,-0.23946027333796616,-0.6371322677785499,-0.13218091267083623,1.0,-0.45205003474635164,-0.4346768589298124,0.0
2019-01-07,-0.23469887854239338,-0.63182171995272,-0.13728486176377316,1.0,-0.449015481304235,-0.43007466774295844,0.0
2019-01-08,-0.2361155097457749,-0.6153226038637606,-0.14107620994443323,1.0,-0.4594189963435349,-0.42714421443583905,0.0
2019-01-09,-0.23657524775293848,-0.6173369439963126,-0.1411039410002305,1.0,-0.4596105093339479,-0.4262214796035953,0.0
2019-01-10,-0.23625882692030553,-0.6185617524138926,-0.1408272085314887,1.0,-0.45948984003458715,-0.42712206369793915,0.0
2019-01-11,-0.23385865337520528,-0.6180241435938806,-0.14344982569362413,1.0,-0.45918925926993,-0.4265752398513354,0.0
2019-01-14,-0.23466566837528077,-0.6163681391464608,-0.14467545931002707,1.0,-0.45738063698669584,-0.4265967862696538,0.0
2019-01-15,-0.2278805694852729,-0.6104674621015621,-0.15078678886391145,1.0,-0.45619344054412353,-0.4367110496282206,0.0
2019-01-16,-0.2219245174301354,-0.6161912993373667,-0.14102564102564102,1.0,-0.45257850763468743,-0.44929415154134256,0.0
2019-01-17,-0.22569224569685106,-0.6095216164872489,-0.14224857521155948,1.0,-0.4511254389499741,-0.4497438259167578,0.0
2019-01-18,-0.22790322115523257,-0.6081552614124636,-0.1445915159904259,1.0,-0.45125010814084265,-0.4518845344176255,0.0
2019-01-22,-0.1427234167032324,-0.7008922041831213,-0.06973818926429722,1.0,-0.5582565452683926,-0.4536492613719468,0.0
2019-01-23,-0.13423584105727904,-0.6956229350019006,-0.07736615888424316,1.0,-0.5611239437443349,-0.455542235607146,0.0
2019-01-24,-0.14028366720280744,-0.6935809328849247,-0.07372422868840474,1.0,-0.5623336745138178,-0.4545108934054687,0.0
2019-01-25,-0.08905613963159281,-0.7459220429320291,-0.020616745248484496,1.0,-0.630977831141828,-0.44194219111488564,0.0
2019-01-28,-0.08011591487866991,-0.7376401369903112,-0.03427684922284343,1.0,-0.6353657465679244,-0.4397154816614466,0.0
2019-01-29,-0.07427716849451645,-0.7287255879420562,-0.039059292710104984,1.0,-0.6384669520849218,-0.4518503313588646,0.0
2019-01-30,-0.07418467123367879,-0.7295509104748522,-0.03799988289712512,1.0,-0.639352421101938,-0.4464547104631419,0.0
2019-01-31,-0.11585438869596455,-0.728595377799066,-0.027152436833912105,1.0,-0.7084780265836427,-0.41363309783259483,0.0
2019-02-01,-0.10368746621824515,-0.7298060176565973,-0.02711548855924569,1.0,-0.7226893279682902,-0.41952435289171824,0.0
2019-02-04,-0.11058993324914307,-0.7354020085392988,-0.018551927355824165,1.0,-0.7322749413674906,-0.4099464790426363,0.0
2019-02-05,-0.10184795040028893,-0.7363811472942876,-0.013663998073797628,1.0,-0.7358995967013785,-0.42192861012460126,0.0
2019-02-06,-0.08565677202259343,-0.7183932219685133,-0.029774065617113328,1.0,-0.7306814084845571,-0.43994111284701354,0.0
2019-02-07,-0.08505843824174503,-0.7180843073040291,-0.030285731454496288,1.0,-0.7302226361806328,-0.4409157828320764,0.0
2019-02-08,-0.07757583052479539,-0.715063793933558,-0.038547183437650456,1.0,-0.737933317284545,-0.44002768415984594,0.0
2019-02-11,-0.0748161986260094,-0.7010365192238158,-0.04296733759190069,1.0,-0.743250572496083,-0.45106665059660117,0.0
2019-02-12,-0.07853403141361257,-0.7221196622582695,-0.025996428895681385,1.0,-0.7508095511908726,-0.44889991828829096,0.0
2019-02-13,-0.06731205566480108,-0.7350476478596278,-0.03355014369989411,1.0,-0.7472697020117985,-0.4420813795189835,0.0
2019-02-14,-0.06742832898963573,-0.7141947996848294,-0.042608642948057454,1.0,-0.7521364931207952,-0.4541184314200861,0.0
2019-02-15,-0.06769240088439288,-0.710088742163128,-0.04482539297937426,1.0,-0.7514007935306054,-0.45473543931913857,0.0
2019-02-19,-0.08215614507395869,-0.6961795577603678,-0.04401222057533501,1.0,-0.751444387307541,-0.4511025741855471,0.0
2019-02-20,-0.08198258134752631,-0.6928450465707029,-0.04478650054433289,1.0,-0.7524192572880126,-0.4520079835490505,0.0
2019-02-21,-0.0822447992259313,-0.691914610546686,-0.04538582486695694,1.0,-0.7522375423318819,-0.4519230769230769,0.0
2019-02-22,-0.08308901314795225,-0.6862022064379629,-0.04823938340637751,1.0,-0.7557503400332477,-0.44923681426628387,0.0
2019-02-25,-0.07603847437570167,-0.6870164153290652,-0.052644354765300244,1.0,-0.7658767484904574,-0.45265042327881794,0.0
