Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WH
2019-12-24,-0.08824255135401887,-0.0737153784467337,-0.7039047560298562,-0.722935044105854,-0.4955277280858676,0.0,1.0
2019-12-26,-0.09075759913593581,-0.07150131152599908,-0.702299027927789,-0.7254127449467674,-0.4959728436969603,0.0,1.0
2019-12-27,-0.0934978202393099,-0.07649259499737193,-0.7077883931608077,-0.7214853291284049,-0.4925949973719197,0.0,1.0
2019-12-30,-0.10105739712859314,-0.07600235666222209,-0.716146237092623,-0.7262240689633787,-0.48147229371453376,0.0,1.0
2019-12-31,-0.09381194251734391,-0.08300297324083251,-0.7151573339940536,-0.7268954410307235,-0.4782581764122894,0.0,1.0
2020-01-02,-0.09516424206706163,-0.08638605415800737,-0.7170507770092124,-0.7272868265144701,-0.4759452836626446,0.0,1.0
2020-01-03,-0.0648764702221669,-0.0995394859667683,-0.742361067894704,-0.7223224842865145,-0.48245068143630593,0.0,1.0
2020-01-06,-0.06764623478504497,-0.1012670049497245,-0.7425209351554961,-0.7198891759798275,-0.4817109236372692,0.0,1.0
2020-01-07,-0.05752033153647213,-0.10020876826722339,-0.7515657620041754,-0.7176331287196585,-0.4890162963886206,0.0,1.0
2020-01-08,-0.05105067599213164,-0.10207012832922222,-0.7605770131451588,-0.7333187622943143,-0.4753489243450838,0.0,1.0
2020-01-09,-0.05309375,-0.10768749999999999,-0.75790625,-0.7285624999999999,-0.47771875,0.0,1.0
2020-01-10,-0.05682564503518374,-0.11196247068021892,-0.7562783424550431,-0.7221579358874121,-0.4802189210320563,0.0,1.0
2020-01-13,-0.06396969032783292,-0.1131602843097348,-0.7563954034505433,-0.7201052071265304,-0.4775338948554968,0.0,1.0
2020-01-14,-0.10164956242523453,-0.10312913177611281,-0.7697223446452182,-0.7186299817414846,-0.4548888748976893,0.0,1.0
2020-01-15,-0.11539672544080605,-0.10421914357682618,-0.7660894206549118,-0.7148614609571788,-0.4480793450881612,0.0,1.0
2020-01-16,-0.1345651362448675,-0.10669404006470075,-0.734260296130397,-0.7078511882543238,-0.42727385840487747,0.0,1.0
2020-01-17,-0.1436470953712333,-0.10829450139794967,-0.7239826032929481,-0.7099099099099099,-0.4207207207207207,0.0,1.0
2020-01-21,-0.1392762851374437,-0.10843298648858517,-0.7272557850597918,-0.7087746544494486,-0.42233266035098616,0.0,1.0
2020-01-22,-0.13857165084798506,-0.11638400497899487,-0.7176287536953477,-0.7158861054924537,-0.4233701571495254,0.0,1.0
2020-01-23,-0.15235690235690236,-0.11014465644095274,-0.702020202020202,-0.7220039905225091,-0.43103878289063474,0.0,1.0
2020-01-24,-0.15138845553822153,-0.11653666146645866,-0.7058034321372855,-0.7249921996879876,-0.4214040561622465,0.0,1.0
2020-01-27,-0.1440281760379005,-0.11890662012217929,-0.7078917840668245,-0.7250031168183518,-0.4209574865976811,0.0,1.0
2020-01-28,-0.13910736579275904,-0.11875780274656679,-0.7111423220973783,-0.7318664169787765,-0.4202247191011236,0.0,1.0
2020-01-29,-0.14167056986729118,-0.11481654957064794,-0.7057923497267761,-0.734145199063232,-0.42613583138173305,0.0,1.0
2020-01-30,-0.16516657291080694,-0.10991311956997313,-0.6917932370773173,-0.7538908681792612,-0.40443152697043566,0.0,1.0
2020-01-31,-0.15915850108004886,-0.11432864790407914,-0.6957705913658705,-0.7561281031837961,-0.40519049557023445,0.0,1.0
2020-02-03,-0.15961430443737126,-0.11143356425138862,-0.691942832178743,-0.7551644511015415,-0.40232790363851956,0.0,1.0
2020-02-04,-0.16513647256543526,-0.10513211540257072,-0.6917307273349725,-0.7475646571846504,-0.4026952164576266,0.0,1.0
2020-02-05,-0.1688771548377077,-0.10380493865507065,-0.6805404565926385,-0.7491225345550551,-0.4036962261220686,0.0,1.0
2020-02-06,-0.16677020562837797,-0.10349754612660744,-0.6793191277877866,-0.7507920730570914,-0.4057898987388955,0.0,1.0
2020-02-07,-0.14606460489696363,-0.12229900872447542,-0.6906720035022984,-0.760592889083461,-0.40742362175177455,0.0,1.0
2020-02-10,-0.14870642574041132,-0.11322285678619355,-0.6884186873888213,-0.7608526043129544,-0.4096058421496115,0.0,1.0
2020-02-11,-0.14282167463223883,-0.12376637080255726,-0.6706908323505679,-0.764198373781888,-0.401992427533983,0.0,1.0
2020-02-12,-0.1418325208805539,-0.12519017604868507,-0.6675256931722916,-0.760797342192691,-0.40956934827832453,0.0,1.0
2020-02-13,-0.13848586309523808,-0.1214967757936508,-0.6689608134920635,-0.7582775297619048,-0.4129464285714286,0.0,1.0
2020-02-14,-0.14712279393487449,-0.11440467312950534,-0.6598931145911012,-0.7622731792194879,-0.4234402187422322,0.0,1.0
2020-02-18,-0.1442806146205184,-0.11767810026385224,-0.6553468880956077,-0.7564488592270682,-0.4304206115163744,0.0,1.0
2020-02-19,-0.1385356754235971,-0.1347738224778486,-0.6581999067309188,-0.7454375874397637,-0.4320223845795119,0.0,1.0
2020-02-20,-0.149244882675986,-0.13620194707938094,-0.6554231153270095,-0.7459435846230654,-0.433537194208687,0.0,1.0
2020-02-21,-0.1513295628534825,-0.13058150798362655,-0.6573758710120927,-0.7512733181264257,-0.43417804580820546,0.0,1.0
2020-02-24,-0.13785243700627597,-0.14693852062322416,-0.6558216504824055,-0.7547069659974397,-0.42704592999656543,0.0,1.0
2020-02-25,-0.16252696456086288,-0.17244992295839753,-0.644437596302003,-0.6876117103235747,-0.4146379044684129,0.0,1.0
2020-02-26,-0.16803753122524828,-0.1627673185889234,-0.6272162310363736,-0.6843660513007981,-0.40397855358557244,0.0,1.0
2020-02-27,-0.15389314842532914,-0.16803616702813332,-0.6399486819195406,-0.6820111800103859,-0.4107279225341357,0.0,1.0
2020-02-28,-0.15077872465471642,-0.22762268586541287,-0.5793417572729944,-0.5895386423743756,-0.3913017925359977,0.0,1.0
2020-03-02,-0.18004809102105448,-0.19567767286376164,-0.5630754794440209,-0.5994076593748168,-0.3941411060934843,0.0,1.0
2020-03-03,-0.18203007305079447,-0.2289303885620079,-0.49251016173502743,-0.5589380631590916,-0.3800631022426878,0.0,1.0
2020-03-04,-0.17853899421046654,-0.2303609944375071,-0.4935293449880804,-0.5591724372800545,-0.37640481325916675,0.0,1.0
2020-03-05,-0.187225648719231,-0.2713229982774907,-0.43915652608768124,-0.52167027837973,-0.3588653664499639,0.0,1.0
2020-03-06,-0.20664796633941096,-0.31051893408134645,-0.42232819074333805,-0.5169144460028051,-0.34863955119214585,0.0,1.0
2020-03-09,-0.20798190247444562,-0.30749036474333913,-0.42367201027760715,-0.5139362118080768,-0.3397196000670279,0.0,1.0
2020-03-10,-0.3002493364433363,-0.257701278854661,-0.38732941901927664,-0.4326925654843294,-0.30306442531971367,0.0,1.0
2020-03-11,-0.2579005583061203,-0.31868218687453914,-0.3950805856947224,-0.3935531444222058,-0.26832929527019905,0.0,1.0
2020-03-12,-0.2444131047949664,-0.3579138641787807,-0.4397645910175743,-0.398947711000217,-0.27104577999566065,0.0,1.0
2020-03-13,-0.2964022473068399,-0.2972527189320138,-0.38750579867017165,-0.37142415339415497,-0.22460182464821404,0.0,1.0
2020-03-16,-0.26901641813526134,-0.3498016769593814,-0.37026158558015765,-0.34914896821810515,-0.1721895867851584,0.0,1.0
2020-03-17,-0.30705741001932824,-0.3501279841195215,-0.38763516690173955,-0.33782583712061853,-0.22927440839993732,0.0,1.0
2020-03-18,-0.32347474747474747,-0.43970370370370365,-0.3015488215488215,-0.40196632996632997,-0.2269090909090909,0.0,1.0
2020-03-19,-0.32054686175922265,-0.5370600531043443,-0.3484266425625671,-0.43328060561550197,-0.1854132534885035,0.0,1.0
2020-03-20,-0.3210012728044124,-0.49690284259652107,-0.36617168717296,-0.4393437986140574,-0.20503464856455947,0.0,1.0
2020-03-23,-0.39353600584866577,-0.6999817229194589,-0.2721761910564152,-0.5177896917265749,-0.16269647861581576,0.0,1.0
2020-03-24,-0.3976682757992532,-0.7060145125542703,-0.2531499529404621,-0.507757233506391,-0.17147888392992683,0.0,1.0
2020-03-25,-0.3940669113916495,-0.6982421583549706,-0.2261020085355299,-0.4960456024114364,-0.16993464052287582,0.0,1.0
2020-03-26,-0.38047284107458246,-0.706317974777678,-0.3005608403309268,-0.5345025253307718,-0.1767421683760419,0.0,1.0
2020-03-27,-0.3806662192666707,-0.698523580013422,-0.27103288389970104,-0.5375205905679946,-0.1626807394301751,0.0,1.0
2020-03-30,-0.3782482863670983,-0.7022391469916223,-0.2700685453160701,-0.5397715156130998,-0.1561005331302361,0.0,1.0
